company,category
IREN,Bitcoin Mining
CORZ,Bitcoin Mining
CIFR,Bitcoin Mining
RIOT,Bitcoin Mining
MARA,Bitcoin Mining
BTBT,Bitcoin Mining
WULF,Bitcoin Mining
HUT,Bitcoin Mining
CLSK,Bitcoin Mining
APLD,Data Infrastructure
BTDR,Bitcoin Mining
NVDA,Semiconductors
CANG,Auto Finance
GLXY,Financials Crypto
XOM,Energy
CVX,Energy
COP,Energy
AMD,Semiconductors
AVGO,Semiconductors
MU,Semiconductors
JPM,Financials - Traditional
BAC,Financials - Traditional
V,Financials - Traditional
AMZN,Cloud / Big Tech
MSFT,Cloud / Big Tech
GOOGL,Cloud / Big Tech
DLR,Data Infrastructure
