Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,85.66,90.37,85.32,89.84,89.84,98304091.0
2022-05-03,89.85,92.21,89.01,91.13,91.13,126381846.0
2022-05-04,98.18,99.69,91.7,99.42,99.42,225394075.0
2022-05-05,97.65,97.84,92.17,93.87,93.87,153129770.0
2022-05-06,94.34,98.18,92.65,95.34,95.34,144286560.0
2022-05-09,92.86,93.74,85.38,86.36,86.36,144523668.0
2022-05-10,89.18,90.77,85.41,88.73,88.73,137235451.0
2022-05-11,87.84,93.46,86.53,87.92,87.92,136137858.0
2022-05-12,86.6,88.55,83.27,87.06,87.06,129214223.0
2022-05-13,88.3,96.57,88.22,95.12,95.12,138068073.0
2022-05-16,93.86,98.17,93.08,94.24,94.24,131065665.0
2022-05-17,97.88,103.2,97.54,102.47,102.47,164227181.0
2022-05-18,100.0,104.22,95.71,96.28,96.28,142603246.0
2022-05-19,96.69,100.69,95.09,96.67,96.67,141506169.0
2022-05-20,98.39,98.64,88.26,93.5,93.5,164126807.0
2022-05-23,91.66,95.19,90.92,95.07,95.07,128773040.0
2022-05-24,92.54,93.42,89.62,91.16,91.16,123341410.0
2022-05-25,90.43,93.89,89.52,92.65,92.65,111771116.0
2022-05-26,91.34,100.33,90.74,98.75,98.75,128792745.0
2022-05-27,100.14,102.4,99.38,102.26,102.26,104348440.0
2022-05-31,102.43,104.55,100.04,101.86,101.86,125102894.0
2022-06-01,102.13,103.57,99.55,101.22,101.22,99351389.0
2022-06-02,100.78,109.5,100.78,108.59,108.59,120953796.0
2022-06-03,105.8,109.39,104.65,106.3,106.3,110844697.0
2022-06-06,108.27,109.57,104.22,105.65,105.65,96726891.0
2022-06-07,104.24,106.24,102.61,105.28,105.28,79022851.0
2022-06-08,104.57,105.85,100.41,101.9,101.9,97641865.0
2022-06-09,101.57,103.94,98.74,98.8,98.8,95298975.0
2022-06-10,98.82,99.93,94.25,94.82,94.82,102212244.0
2022-06-13,91.26,92.03,86.64,86.99,86.99,98148812.0
2022-06-14,87.41,88.3,85.82,86.99,86.99,84066567.0
2022-06-15,87.9,90.86,86.19,89.3,89.3,95774807.0
2022-06-16,86.63,86.73,80.64,82.05,82.05,102433342.0
2022-06-17,82.19,82.94,79.43,81.57,81.57,105212293.0
2022-06-21,84.17,85.81,82.6,83.79,83.79,87780567.0
2022-06-22,84.4,86.38,83.3,83.75,83.75,86634716.0
2022-06-23,84.32,84.41,80.23,82.43,82.43,100614559.0
2022-06-24,83.56,87.53,83.08,87.08,87.08,88553886.0
2022-06-27,87.36,88.22,85.25,86.16,86.16,74663487.0
2022-06-28,85.71,86.73,80.43,80.78,80.78,95752533.0
2022-06-29,79.55,79.75,76.51,77.99,77.99,104140895.0
2022-06-30,77.73,78.91,75.48,76.47,76.47,105368616.0
2022-07-01,75.19,75.45,72.69,73.67,73.67,87734237.0
2022-07-05,71.98,75.21,71.6,75.2,75.2,95685751.0
2022-07-06,75.17,76.28,73.55,75.35,75.35,85458857.0
2022-07-07,77.19,79.99,76.9,79.3,79.3,83640945.0
2022-07-08,78.31,80.47,77.4,79.35,79.35,83405931.0
2022-07-11,77.84,78.29,75.84,76.95,76.95,76247536.0
2022-07-12,76.98,77.44,74.43,76.36,76.36,77873214.0
2022-07-13,74.94,79.11,74.48,77.52,77.52,79354976.0
2022-07-14,78.23,79.25,76.0,78.6,78.6,83493646.0
2022-07-15,79.36,81.2,77.9,81.11,81.11,76050597.0
2022-07-18,82.21,84.47,80.94,81.43,81.43,90464334.0
2022-07-19,82.76,86.41,82.19,85.88,85.88,85047506.0
2022-07-20,85.39,89.92,85.08,89.43,89.43,88348558.0
2022-07-21,89.6,91.58,88.22,91.09,91.09,90449338.0
2022-07-22,90.2,90.69,87.04,88.1,88.1,76989702.0
2022-07-25,86.57,87.6,85.12,87.54,87.54,70083006.0
2022-07-26,87.0,87.75,84.71,85.25,85.25,69180367.0
2022-07-27,86.94,90.62,86.29,89.82,89.82,78301564.0
2022-07-28,90.42,92.22,88.59,91.67,91.67,79009185.0
2022-07-29,90.7,94.81,90.56,94.47,94.47,76630707.0
