Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,3.37,3.39,2.9,2.95,2.95,355860.0
2022-05-03,2.95,3.0,2.76,2.95,2.95,89189.0
2022-05-04,2.94,3.24,2.9,3.22,3.22,62298.0
2022-05-05,3.27,3.49,3.12,3.37,3.37,69854.0
2022-05-06,3.43,3.54,3.0,3.54,3.54,137093.0
2022-05-09,3.51,3.52,2.81,2.82,2.82,148634.0
2022-05-10,2.91,2.98,2.5,2.59,2.59,175635.0
2022-05-11,2.48,2.6,2.38,2.45,2.45,189831.0
2022-05-12,2.26,2.28,1.77,1.8,1.8,294962.0
2022-05-13,1.73,1.99,1.73,1.8,1.8,543507.0
2022-05-16,1.9,2.18,1.89,2.18,2.18,211478.0
2022-05-17,2.18,2.59,2.1,2.5,2.5,617502.0
2022-05-18,2.48,2.65,2.45,2.54,2.54,242473.0
2022-05-19,2.47,3.25,2.36,3.09,3.09,252398.0
2022-05-20,3.4,4.25,3.12,3.65,3.65,2314476.0
2022-05-23,3.62,3.97,3.55,3.56,3.56,609175.0
2022-05-24,3.65,3.9,3.57,3.66,3.66,221635.0
2022-05-25,3.65,3.79,3.42,3.77,3.77,300195.0
2022-05-26,3.8,3.82,3.73,3.8,3.8,164893.0
2022-05-27,3.82,4.68,3.78,4.6,4.6,611021.0
2022-05-31,4.74,4.98,4.71,4.83,4.83,761836.0
2022-06-01,4.95,4.95,4.35,4.86,4.86,389673.0
2022-06-02,4.9,5.0,4.5,4.8,4.8,386485.0
2022-06-03,4.87,4.87,4.2,4.35,4.35,219148.0
2022-06-06,4.36,4.46,3.61,3.79,3.79,435354.0
2022-06-07,3.73,3.96,3.56,3.84,3.84,381060.0
2022-06-08,3.6,4.16,3.54,3.98,3.98,228845.0
2022-06-09,3.95,4.04,3.42,3.45,3.45,144792.0
2022-06-10,3.29,3.31,2.65,2.74,2.74,429031.0
2022-06-13,2.15,2.15,1.2,1.3,1.3,3404128.0
2022-06-14,1.26,1.26,0.98,1.03,1.03,2510978.0
2022-06-15,1.02,1.08,0.95,1.01,1.01,1502918.0
2022-06-16,1.0,1.05,0.95,1.03,1.03,845463.0
2022-06-17,1.03,1.08,1.02,1.08,1.08,701034.0
2022-06-21,1.14,1.29,1.14,1.21,1.21,1390626.0
2022-06-22,1.1,1.23,1.09,1.2,1.2,915764.0
2022-06-23,1.23,1.24,1.05,1.09,1.09,884405.0
2022-06-24,1.1,1.17,1.08,1.17,1.17,1354171.0
2022-06-27,1.15,1.17,1.06,1.07,1.07,408068.0
2022-06-28,1.07,1.17,1.06,1.15,1.15,901866.0
2022-06-29,1.15,1.16,1.09,1.1,1.1,705991.0
2022-06-30,1.08,1.08,1.04,1.05,1.05,690536.0
2022-07-01,1.07,1.07,0.92,0.97,0.97,544811.0
2022-07-05,0.99,1.02,0.93,1.02,1.02,287445.0
2022-07-06,1.0,1.04,0.95,0.99,0.99,171892.0
2022-07-07,0.98,1.12,0.95,1.1,1.1,2063346.0
2022-07-08,1.09,1.14,1.02,1.06,1.06,369651.0
2022-07-11,1.06,1.14,1.04,1.06,1.06,613376.0
2022-07-12,1.05,1.05,0.98,0.99,0.99,402413.0
2022-07-13,0.99,0.99,0.85,0.88,0.88,1002955.0
2022-07-14,0.92,0.92,0.88,0.9,0.9,192318.0
2022-07-15,0.92,1.05,0.89,1.04,1.04,735189.0
2022-07-18,1.07,1.11,1.03,1.06,1.06,6802967.0
2022-07-19,1.36,2.15,1.35,2.12,2.12,131949636.0
2022-07-20,2.29,2.95,2.2,2.49,2.49,93203731.0
2022-07-21,2.04,2.42,2.0,2.25,2.25,10922172.0
2022-07-22,2.63,2.65,2.02,2.13,2.13,19125351.0
2022-07-25,1.97,2.07,1.82,1.94,1.94,3199240.0
2022-07-26,1.83,1.95,1.66,1.86,1.86,2864715.0
2022-07-27,1.89,2.2,1.86,2.16,2.16,5295316.0
2022-07-28,2.19,2.26,1.97,2.2,2.2,5515667.0
2022-07-29,2.18,2.29,1.94,2.12,2.12,3155527.0
2022-08-01,1.96,2.32,1.96,2.25,2.25,2087486.0
2022-08-02,2.2,2.44,2.16,2.36,2.36,2712813.0
2022-08-03,2.32,2.39,2.21,2.32,2.32,1515418.0
2022-08-04,2.25,2.51,2.13,2.18,2.18,2190425.0
2022-08-05,2.17,2.19,1.9,2.03,2.03,2188219.0
2022-08-08,2.06,2.24,2.06,2.19,2.19,1238673.0
2022-08-09,2.19,2.19,1.98,2.07,2.07,889736.0
2022-08-10,2.17,2.23,2.09,2.11,2.11,1495468.0
2022-08-11,2.21,2.34,2.11,2.15,2.15,1696576.0
2022-08-12,2.15,2.25,2.06,2.18,2.18,1376197.0
2022-08-15,2.15,2.31,2.12,2.29,2.29,1387049.0
2022-08-16,2.27,2.28,2.09,2.18,2.18,755123.0
2022-08-17,2.18,2.18,2.07,2.12,2.12,541302.0
2022-08-18,2.1,2.14,2.03,2.05,2.05,494964.0
2022-08-19,1.91,2.02,1.87,1.97,1.97,1168264.0
2022-08-22,1.89,1.91,1.77,1.89,1.89,618831.0
2022-08-23,1.92,1.97,1.84,1.91,1.91,521218.0
2022-08-24,1.96,2.02,1.9,1.98,1.98,406586.0
2022-08-25,1.97,2.02,1.89,1.92,1.92,367460.0
2022-08-26,1.95,2.12,1.95,2.06,2.06,814970.0
2022-08-29,1.99,2.14,1.99,2.14,2.14,414791.0
2022-08-30,2.14,2.14,2.02,2.08,2.08,440491.0
2022-08-31,2.07,2.38,2.06,2.37,2.37,969447.0
2022-09-01,2.34,2.36,2.13,2.19,2.19,579620.0
2022-09-02,2.26,2.3,2.2,2.24,2.24,391677.0
2022-09-06,2.24,2.26,1.92,2.1,2.1,769891.0
2022-09-07,2.11,2.12,1.94,2.11,2.11,514802.0
2022-09-08,2.05,2.11,2.0,2.09,2.09,326211.0
2022-09-09,2.15,2.3,2.15,2.26,2.26,596954.0
2022-09-12,2.31,2.37,2.26,2.32,2.32,369114.0
2022-09-13,2.2,2.21,2.07,2.09,2.09,444687.0
2022-09-14,2.13,2.13,2.06,2.11,2.11,261673.0
2022-09-15,2.11,2.11,1.97,1.98,1.98,340211.0
2022-09-16,1.94,2.21,1.9,2.15,2.15,1098465.0
2022-09-19,2.01,2.13,1.93,2.08,2.08,461709.0
2022-09-20,2.02,2.07,1.99,2.06,2.06,505086.0
2022-09-21,2.03,2.04,1.84,1.92,1.92,889724.0
2022-09-22,1.93,1.93,1.71,1.76,1.76,417547.0
2022-09-23,1.71,1.73,1.45,1.59,1.59,714150.0
2022-09-26,1.59,1.65,1.55,1.59,1.59,389697.0
2022-09-27,1.66,1.76,1.63,1.73,1.73,1073855.0
2022-09-28,1.74,1.78,1.7,1.74,1.74,334866.0
2022-09-29,1.7,1.71,1.53,1.6,1.6,432486.0
2022-09-30,1.59,1.81,1.59,1.7,1.7,436465.0
2022-10-03,1.72,1.78,1.62,1.73,1.73,447239.0
2022-10-04,1.75,1.81,1.71,1.73,1.73,593247.0
2022-10-05,1.73,1.73,1.62,1.65,1.65,235713.0
2022-10-06,1.65,1.71,1.6,1.62,1.62,368659.0
2022-10-07,1.62,1.63,1.5,1.55,1.55,432083.0
2022-10-10,1.59,1.65,1.54,1.6,1.6,281307.0
2022-10-11,1.6,1.72,1.53,1.68,1.68,609980.0
2022-10-12,1.6,1.75,1.6,1.74,1.74,385621.0
2022-10-13,1.63,1.94,1.63,1.93,1.93,685568.0
2022-10-14,1.94,2.09,1.88,1.93,1.93,999783.0
2022-10-17,2.01,2.05,1.96,2.04,2.04,596664.0
2022-10-18,2.05,2.2,2.05,2.11,2.11,464097.0
2022-10-19,2.11,2.18,2.07,2.1,2.1,395631.0
2022-10-20,2.07,2.12,1.94,2.05,2.05,398119.0
2022-10-21,2.04,2.08,1.95,2.01,2.01,305137.0
2022-10-24,1.99,2.08,1.93,2.07,2.07,318035.0
2022-10-25,2.09,2.25,2.08,2.21,2.21,696985.0
2022-10-26,2.21,2.34,2.14,2.2,2.2,577581.0
2022-10-27,2.25,2.33,2.19,2.2,2.2,537851.0
2022-10-28,2.17,2.26,2.13,2.22,2.22,335186.0
2022-10-31,2.23,2.25,2.15,2.25,2.25,336141.0
2022-11-01,2.26,2.3,2.18,2.29,2.29,408999.0
2022-11-02,2.27,2.27,2.08,2.26,2.26,611433.0
2022-11-03,2.19,2.29,2.19,2.25,2.25,450424.0
2022-11-04,2.28,2.45,2.25,2.41,2.41,586297.0
2022-11-07,2.4,2.55,2.31,2.53,2.53,841538.0
2022-11-08,2.55,2.63,2.31,2.36,2.36,1043267.0
2022-11-09,2.35,2.39,1.96,1.97,1.97,818616.0
2022-11-10,2.16,2.24,2.04,2.1,2.1,720980.0
2022-11-11,2.15,2.36,2.04,2.34,2.34,2121380.0
2022-11-14,2.3,2.35,2.2,2.35,2.35,1114980.0
2022-11-15,2.41,2.48,2.35,2.45,2.45,872366.0
2022-11-16,2.42,2.5,2.37,2.47,2.47,653002.0
2022-11-17,2.42,2.5,2.37,2.43,2.43,400499.0
2022-11-18,2.47,2.48,2.19,2.2,2.2,296464.0
2022-11-21,2.18,2.25,2.09,2.14,2.14,663434.0
2022-11-22,2.18,2.18,2.03,2.11,2.11,595456.0
2022-11-23,2.19,2.3,2.09,2.24,2.24,642168.0
2022-11-25,2.24,2.26,2.15,2.24,2.24,333666.0
2022-11-28,2.2,2.23,1.92,2.0,2.0,719464.0
2022-11-29,2.03,2.12,1.97,2.01,2.01,373026.0
2022-11-30,2.05,2.05,1.83,1.95,1.95,744961.0
2022-12-01,1.99,2.06,1.89,1.91,1.91,317782.0
2022-12-02,1.91,1.95,1.83,1.89,1.89,675014.0
2022-12-05,1.92,1.96,1.87,1.92,1.92,474867.0
2022-12-06,1.93,1.95,1.78,1.8,1.8,537720.0
2022-12-07,1.82,1.85,1.6,1.6,1.6,574054.0
2022-12-08,1.61,1.72,1.6,1.64,1.64,328969.0
2022-12-09,1.64,1.69,1.59,1.59,1.59,413800.0
2022-12-12,1.65,1.86,1.61,1.7,1.7,603210.0
2022-12-13,1.75,1.83,1.54,1.6,1.6,886076.0
2022-12-14,1.6,1.66,1.55,1.63,1.63,1077655.0
2022-12-15,1.56,1.63,1.48,1.61,1.61,1283413.0
2022-12-16,1.62,1.69,1.53,1.61,1.61,6617108.0
2022-12-19,1.6,1.66,1.45,1.51,1.51,979551.0
2022-12-20,1.51,1.62,1.5,1.61,1.61,866871.0
2022-12-21,1.63,1.72,1.57,1.71,1.71,355021.0
2022-12-22,1.73,1.92,1.65,1.92,1.92,582853.0
2022-12-23,1.92,1.92,1.8,1.92,1.92,388024.0
2022-12-27,1.94,1.94,1.8,1.83,1.83,256680.0
2022-12-28,1.8,1.86,1.75,1.77,1.77,275074.0
2022-12-29,1.8,1.92,1.77,1.88,1.88,370727.0
2022-12-30,1.86,1.94,1.82,1.84,1.84,479907.0
2023-01-03,1.89,1.96,1.78,1.84,1.84,299759.0
2023-01-04,1.86,1.9,1.8,1.83,1.83,411365.0
2023-01-05,1.83,1.84,1.74,1.79,1.79,279178.0
2023-01-06,1.79,1.87,1.61,1.86,1.86,394849.0
2023-01-09,1.91,2.21,1.86,2.08,2.08,753936.0
2023-01-10,2.02,2.19,1.95,2.17,2.17,579377.0
2023-01-11,2.13,2.25,2.03,2.1,2.1,632993.0
2023-01-12,2.11,2.24,2.08,2.2,2.2,852319.0
2023-01-13,2.23,2.3,2.08,2.14,2.14,1512459.0
2023-01-17,2.22,2.31,2.16,2.25,2.25,1010634.0
2023-01-18,2.25,2.43,2.25,2.36,2.36,887510.0
2023-01-19,2.33,2.45,2.3,2.42,2.42,694252.0
2023-01-20,2.42,2.47,2.31,2.4,2.4,765923.0
2023-01-23,2.36,2.43,2.28,2.34,2.34,764909.0
2023-01-24,2.32,2.55,2.3,2.51,2.51,1436060.0
2023-01-25,2.45,2.52,2.36,2.48,2.48,683671.0
2023-01-26,2.55,2.86,2.52,2.63,2.63,1531355.0
2023-01-27,2.64,3.33,2.6,3.2,3.2,2969238.0
2023-01-30,3.33,3.57,3.03,3.2,3.2,2898192.0
2023-01-31,3.18,3.32,2.99,3.1,3.1,1810290.0
