Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,557.14,577.64,556.38,576.35,576.35,2672471.0
2022-05-03,576.01,586.75,571.77,581.17,581.17,1706449.0
2022-05-04,581.79,604.07,573.98,603.66,603.66,2389585.0
2022-05-05,594.23,597.87,574.29,579.99,579.99,3280649.0
2022-05-06,574.94,589.98,569.43,580.1,580.1,2074700.0
2022-05-09,572.88,578.0,560.27,562.92,562.92,3007388.0
2022-05-10,580.49,591.15,571.8,581.39,581.39,2927311.0
2022-05-11,574.58,584.69,565.86,567.11,567.11,2665951.0
2022-05-12,563.4,573.61,558.26,571.57,571.57,2551775.0
2022-05-13,577.05,591.59,573.5,588.24,588.24,1945085.0
2022-05-16,584.38,589.14,577.65,582.67,582.67,1419084.0
2022-05-17,595.45,609.0,593.61,608.15,608.15,2467604.0
2022-05-18,600.0,600.72,566.18,570.57,570.57,3502433.0
2022-05-19,558.0,560.75,538.96,546.21,546.21,3488421.0
2022-05-20,553.9,554.99,512.44,543.19,543.19,4028103.0
2022-05-23,524.0,535.57,514.26,526.36,526.36,5858580.0
2022-05-24,526.66,528.87,516.19,524.2,524.2,2506019.0
2022-05-25,523.9,537.45,523.9,531.63,531.63,1784225.0
2022-05-26,531.54,554.57,527.72,550.66,550.66,3974283.0
2022-05-27,562.09,585.46,560.01,583.28,583.28,3730114.0
2022-05-31,584.5,587.03,576.0,580.13,580.13,3000940.0
2022-06-01,587.58,590.94,568.43,573.62,573.62,1834481.0
2022-06-02,577.75,577.77,568.13,576.74,576.74,2948939.0
2022-06-03,568.87,569.6,560.98,563.32,563.32,2056171.0
2022-06-06,571.52,572.72,557.54,561.23,561.23,1455678.0
2022-06-07,560.54,574.54,557.53,572.99,572.99,1589491.0
2022-06-08,571.82,576.27,562.14,565.36,565.36,2400504.0
2022-06-09,561.16,573.64,555.93,556.22,556.22,1878740.0
2022-06-10,550.09,551.04,539.72,541.27,541.27,2402436.0
2022-06-13,526.78,533.0,516.02,517.62,517.62,3161905.0
2022-06-14,524.97,524.97,514.59,520.17,520.17,2438173.0
2022-06-15,529.15,533.83,515.52,526.71,526.71,1914054.0
2022-06-16,511.95,514.43,492.28,497.18,497.18,3724442.0
2022-06-17,495.0,500.36,487.87,498.65,498.65,4350396.0
2022-06-21,504.08,510.91,502.89,503.77,503.77,2190065.0
2022-06-22,496.31,503.77,494.2,496.1,496.1,2472117.0
2022-06-23,501.75,501.75,491.01,496.58,496.58,1670776.0
2022-06-24,505.0,511.8,501.45,509.09,509.09,2120140.0
2022-06-27,513.8,514.04,502.82,505.71,505.71,1320718.0
2022-06-28,512.61,514.15,498.11,498.45,498.45,1566904.0
