Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,36.03,36.28,35.4,36.14,36.14,46652228.0
2022-05-03,36.34,37.63,36.33,37.13,37.13,48926008.0
2022-05-04,37.37,38.75,37.29,38.62,38.62,57860341.0
2022-05-05,38.05,38.21,36.87,37.54,37.54,48860647.0
2022-05-06,37.37,37.62,36.61,37.45,37.45,50440080.0
2022-05-09,36.87,37.06,36.06,36.37,36.37,51241970.0
2022-05-10,36.75,37.13,35.18,35.76,35.76,60235259.0
2022-05-11,35.9,36.92,35.51,35.57,35.57,54969264.0
2022-05-12,35.01,35.43,34.26,35.07,35.07,61231467.0
2022-05-13,35.53,35.73,34.76,35.17,35.17,49117857.0
2022-05-16,35.0,35.17,34.41,34.81,34.81,39076463.0
2022-05-17,35.62,36.22,35.43,35.99,35.99,42635615.0
2022-05-18,35.62,35.69,34.61,34.88,34.88,47396915.0
2022-05-19,34.29,34.84,34.25,34.45,34.45,47002714.0
2022-05-20,34.8,34.98,32.96,33.86,33.86,62406548.0
2022-05-23,34.76,36.26,34.66,35.87,35.87,69081852.0
2022-05-24,35.47,35.96,34.96,35.65,35.65,46146669.0
2022-05-25,35.5,36.27,35.29,35.84,35.84,49343427.0
2022-05-26,36.5,36.84,36.34,36.67,36.67,60201240.0
2022-05-27,36.89,37.05,36.58,37.02,37.02,43365604.0
2022-05-31,36.82,37.53,36.61,37.2,37.2,71609155.0
2022-06-01,37.46,37.47,36.17,36.67,36.67,35237941.0
2022-06-02,36.41,36.71,36.07,36.7,36.7,35341881.0
2022-06-03,36.48,36.68,36.13,36.19,36.19,25235197.0
2022-06-06,36.7,37.21,36.1,36.15,36.15,40394048.0
2022-06-07,35.9,36.41,35.74,36.35,36.35,29152216.0
2022-06-08,35.92,36.11,35.52,35.89,35.89,33590631.0
2022-06-09,35.74,35.84,34.5,34.51,34.51,49464073.0
2022-06-10,33.68,34.04,33.02,33.17,33.17,49346170.0
2022-06-13,32.39,32.77,31.74,32.02,32.02,61216575.0
2022-06-14,31.92,32.6,31.23,31.46,31.46,49349754.0
2022-06-15,31.98,32.49,31.42,32.05,32.05,51540135.0
2022-06-16,31.5,32.0,30.86,31.85,31.85,61363408.0
2022-06-17,32.03,32.58,31.64,31.92,31.92,80470252.0
2022-06-21,32.89,33.29,32.62,32.85,32.85,53537219.0
2022-06-22,32.39,32.94,32.32,32.6,32.6,38335789.0
2022-06-23,32.38,32.41,31.26,32.08,32.08,44091460.0
2022-06-24,31.25,32.77,31.23,32.31,32.31,79504692.0
2022-06-27,32.42,32.6,31.91,32.35,32.35,47900293.0
2022-06-28,32.83,33.5,32.19,32.26,32.26,49915905.0
2022-06-29,32.23,32.44,31.66,31.86,31.86,35149746.0
2022-06-30,31.17,31.55,30.64,31.13,31.13,46312262.0
2022-07-01,30.98,31.67,30.63,31.56,31.56,40236080.0
2022-07-05,30.8,31.24,30.45,31.24,31.24,47442656.0
2022-07-06,31.01,31.25,30.64,30.98,30.98,35933728.0
2022-07-07,31.5,32.01,31.47,31.86,31.86,40137866.0
2022-07-08,32.01,32.25,31.56,31.79,31.79,31153758.0
2022-07-11,31.55,31.79,31.29,31.46,31.46,29342283.0
2022-07-12,31.02,32.03,30.98,31.36,31.36,39527035.0
2022-07-13,31.07,31.15,30.4,30.84,30.84,44153699.0
2022-07-14,30.09,30.22,29.67,30.13,30.13,51707785.0
2022-07-15,30.65,32.63,30.61,32.25,32.25,77801694.0
2022-07-18,33.08,33.38,32.11,32.26,32.26,56382923.0
2022-07-19,32.9,33.62,32.68,33.35,33.35,46874861.0
2022-07-20,33.18,33.45,32.95,33.36,33.36,35514908.0
2022-07-21,33.09,33.67,32.95,33.65,33.65,31243966.0
2022-07-22,33.6,33.94,33.09,33.43,33.43,27115352.0
2022-07-25,33.78,33.98,33.44,33.73,33.73,30380960.0
2022-07-26,33.41,33.78,32.96,33.05,33.05,30645743.0
2022-07-27,33.24,33.77,32.95,33.59,33.59,30344780.0
2022-07-28,33.5,33.75,32.9,33.32,33.32,40176465.0
2022-07-29,33.47,33.94,33.35,33.81,33.81,48152531.0
2022-08-01,33.62,33.89,33.22,33.71,33.71,32336671.0
2022-08-02,33.6,33.72,33.0,33.04,33.04,37884135.0
2022-08-03,33.42,33.75,33.17,33.64,33.64,30065776.0
2022-08-04,33.52,33.67,33.17,33.4,33.4,28404453.0
2022-08-05,33.28,34.33,33.24,33.96,33.96,35874544.0
2022-08-08,34.17,34.29,33.45,33.49,33.49,33474410.0
2022-08-09,33.65,33.96,33.41,33.92,33.92,40196923.0
2022-08-10,34.5,35.43,34.45,35.07,35.07,61415796.0
2022-08-11,35.77,36.06,35.65,35.91,35.91,50420767.0
2022-08-12,36.16,36.31,35.69,36.3,36.3,31821682.0
