Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,2.01,2.18,1.98,2.14,2.14,3104815.0
2022-05-03,2.1,2.17,2.06,2.13,2.13,2819049.0
2022-05-04,2.14,2.27,1.98,2.27,2.27,4058484.0
2022-05-05,2.17,2.2,2.0,2.0,2.0,2481504.0
2022-05-06,2.0,2.04,1.92,1.92,1.92,3561855.0
2022-05-09,1.86,1.87,1.61,1.61,1.61,4097483.0
2022-05-10,1.72,1.73,1.55,1.64,1.64,3227482.0
2022-05-11,1.57,1.66,1.48,1.48,1.48,4873318.0
2022-05-12,1.42,1.67,1.38,1.6,1.6,5549438.0
2022-05-13,1.71,1.77,1.61,1.72,1.72,4550073.0
2022-05-16,1.7,1.71,1.58,1.61,1.61,3124505.0
2022-05-17,1.67,1.81,1.67,1.79,1.79,3227843.0
2022-05-18,1.74,1.79,1.65,1.67,1.67,2542774.0
2022-05-19,1.68,1.8,1.67,1.7,1.7,2475336.0
2022-05-20,1.73,1.75,1.53,1.66,1.66,2699616.0
2022-05-23,1.68,1.68,1.55,1.62,1.62,1616749.0
2022-05-24,1.6,1.6,1.45,1.48,1.48,1798784.0
2022-05-25,1.49,1.55,1.45,1.53,1.53,1252153.0
2022-05-26,1.48,1.61,1.46,1.56,1.56,2097749.0
2022-05-27,1.59,1.67,1.57,1.64,1.64,2083601.0
2022-05-31,1.78,1.86,1.71,1.78,1.78,5853454.0
2022-06-01,1.8,1.86,1.61,1.61,1.61,2257892.0
2022-06-02,1.62,1.75,1.58,1.72,1.72,1261302.0
2022-06-03,1.64,1.69,1.6,1.64,1.64,1683480.0
2022-06-06,1.66,1.7,1.6,1.62,1.62,1265254.0
2022-06-07,1.54,1.68,1.53,1.67,1.67,1424284.0
2022-06-08,1.61,1.71,1.6,1.65,1.65,1618357.0
2022-06-09,1.66,1.66,1.51,1.53,1.53,1322224.0
2022-06-10,1.53,1.53,1.41,1.42,1.42,1797154.0
2022-06-13,1.25,1.34,1.2,1.23,1.23,2515829.0
2022-06-14,1.25,1.34,1.22,1.29,1.29,1360435.0
2022-06-15,1.27,1.37,1.23,1.33,1.33,2077493.0
2022-06-16,1.28,1.28,1.19,1.22,1.22,1517997.0
2022-06-17,1.23,1.49,1.23,1.42,1.42,3791985.0
2022-06-21,1.45,1.69,1.43,1.51,1.51,4814967.0
2022-06-22,1.44,1.55,1.43,1.44,1.44,1465795.0
2022-06-23,1.5,1.57,1.44,1.55,1.55,1499571.0
2022-06-24,1.57,1.65,1.56,1.65,1.65,2119548.0
2022-06-27,1.65,1.67,1.52,1.57,1.57,1644063.0
2022-06-28,1.57,1.63,1.45,1.48,1.48,1604238.0
2022-06-29,1.46,1.49,1.41,1.44,1.44,988412.0
2022-06-30,1.39,1.42,1.29,1.31,1.31,2491729.0
2022-07-01,1.37,1.42,1.32,1.36,1.36,766428.0
2022-07-05,1.33,1.52,1.28,1.5,1.5,1270165.0
2022-07-06,1.49,1.49,1.38,1.4,1.4,973263.0
2022-07-07,1.45,1.58,1.43,1.57,1.57,2400167.0
2022-07-08,1.51,1.74,1.48,1.66,1.66,3218989.0
2022-07-11,1.57,1.63,1.46,1.58,1.58,1891302.0
2022-07-12,1.55,1.58,1.5,1.53,1.53,643019.0
2022-07-13,1.52,1.62,1.47,1.6,1.6,1108555.0
2022-07-14,1.59,1.66,1.51,1.62,1.62,1264529.0
2022-07-15,1.65,1.67,1.56,1.62,1.62,948881.0
2022-07-18,1.71,1.88,1.68,1.73,1.73,5660061.0
2022-07-19,1.76,2.02,1.73,2.01,2.01,6309711.0
2022-07-20,2.08,2.11,1.85,1.92,1.92,7990157.0
2022-07-21,1.88,1.98,1.77,1.98,1.98,2807736.0
2022-07-22,1.96,2.0,1.78,1.83,1.83,2336964.0
2022-07-25,1.8,1.8,1.7,1.7,1.7,996436.0
2022-07-26,1.64,1.64,1.46,1.47,1.47,2714168.0
2022-07-27,1.53,1.58,1.5,1.52,1.52,4748303.0
2022-07-28,1.52,1.57,1.39,1.52,1.52,4968801.0
2022-07-29,1.46,1.55,1.37,1.39,1.39,8116713.0
2022-08-01,1.42,1.53,1.35,1.45,1.45,3410032.0
2022-08-02,1.41,1.61,1.41,1.56,1.56,2441718.0
2022-08-03,1.59,1.64,1.53,1.6,1.6,1939308.0
2022-08-04,1.59,1.71,1.51,1.55,1.55,3286673.0
2022-08-05,1.55,1.61,1.5,1.55,1.55,2666015.0
2022-08-08,1.65,1.71,1.57,1.62,1.62,2862808.0
2022-08-09,1.57,1.6,1.49,1.49,1.49,2059529.0
2022-08-10,1.56,1.74,1.53,1.69,1.69,4090714.0
2022-08-11,1.82,1.95,1.72,1.75,1.75,5215660.0
2022-08-12,1.74,1.9,1.68,1.89,1.89,2752076.0
2022-08-15,1.87,2.01,1.83,1.96,1.96,3170949.0
2022-08-16,1.95,1.96,1.76,1.84,1.84,2993354.0
2022-08-17,1.81,1.83,1.72,1.73,1.73,2007966.0
2022-08-18,1.75,1.79,1.65,1.74,1.74,1976276.0
2022-08-19,1.61,1.64,1.54,1.56,1.56,2050240.0
2022-08-22,1.51,1.57,1.5,1.5,1.5,1091530.0
2022-08-23,1.49,1.58,1.47,1.53,1.53,1287904.0
2022-08-24,1.53,1.62,1.52,1.57,1.57,1248648.0
2022-08-25,1.6,1.64,1.56,1.61,1.61,998392.0
2022-08-26,1.63,1.65,1.44,1.46,1.46,2091041.0
2022-08-29,1.44,1.51,1.44,1.48,1.48,1081295.0
2022-08-30,1.5,1.5,1.4,1.46,1.46,1644031.0
2022-08-31,1.45,1.52,1.43,1.48,1.48,1536486.0
2022-09-01,1.45,1.46,1.4,1.45,1.45,1120606.0
2022-09-02,1.45,1.47,1.4,1.41,1.41,957504.0
2022-09-06,1.44,1.46,1.37,1.37,1.37,1195529.0
2022-09-07,1.37,1.47,1.31,1.45,1.45,1535633.0
2022-09-08,1.41,1.49,1.41,1.47,1.47,775627.0
2022-09-09,1.56,1.59,1.5,1.59,1.59,2301792.0
2022-09-12,1.63,1.65,1.53,1.56,1.56,3057324.0
2022-09-13,1.5,1.51,1.41,1.43,1.43,1271205.0
2022-09-14,1.42,1.47,1.4,1.45,1.45,808606.0
2022-09-15,1.43,1.53,1.41,1.45,1.45,1526980.0
2022-09-16,1.41,1.44,1.27,1.27,1.27,3142511.0
2022-09-19,1.27,1.35,1.25,1.34,1.34,985980.0
2022-09-20,1.33,1.33,1.23,1.26,1.26,1294476.0
2022-09-21,1.27,1.34,1.24,1.24,1.24,1201660.0
2022-09-22,1.27,1.27,1.23,1.24,1.24,728976.0
2022-09-23,1.2,1.23,1.18,1.2,1.2,789527.0
2022-09-26,1.2,1.26,1.12,1.17,1.17,1247629.0
2022-09-27,1.2,1.24,1.17,1.21,1.21,1037644.0
2022-09-28,1.19,1.27,1.18,1.26,1.26,944986.0
2022-09-29,1.23,1.23,1.16,1.19,1.19,752536.0
2022-09-30,1.18,1.28,1.16,1.2,1.2,981301.0
2022-10-03,1.2,1.25,1.19,1.24,1.24,959563.0
2022-10-04,1.29,1.34,1.28,1.29,1.29,1691851.0
2022-10-05,1.24,1.25,1.19,1.22,1.22,835599.0
2022-10-06,1.22,1.28,1.21,1.23,1.23,506484.0
2022-10-07,1.2,1.22,1.18,1.18,1.18,525934.0
2022-10-10,1.15,1.17,1.06,1.09,1.09,1242341.0
2022-10-11,1.09,1.09,1.04,1.05,1.05,765160.0
2022-10-12,1.06,1.09,1.01,1.08,1.08,670811.0
2022-10-13,1.01,1.1,1.0,1.07,1.07,1248661.0
2022-10-14,1.09,1.11,1.01,1.03,1.03,714709.0
2022-10-17,1.05,1.08,1.04,1.06,1.06,1018772.0
2022-10-18,1.08,1.09,1.01,1.04,1.04,603037.0
2022-10-19,1.03,1.04,1.0,1.0,1.0,597162.0
2022-10-20,1.01,1.04,0.98,0.99,0.99,1345236.0
2022-10-21,0.98,1.05,0.94,1.05,1.05,1125542.0
2022-10-24,1.05,1.05,0.96,1.02,1.02,821206.0
2022-10-25,1.02,1.16,1.01,1.14,1.14,2681144.0
2022-10-26,1.13,1.18,1.1,1.12,1.12,1479361.0
2022-10-27,1.12,1.14,1.06,1.07,1.07,770271.0
2022-10-28,1.05,1.09,1.03,1.07,1.07,655119.0
2022-10-31,1.05,1.1,1.04,1.06,1.06,516592.0
2022-11-01,1.1,1.1,1.04,1.04,1.04,654750.0
2022-11-02,1.04,1.1,1.01,1.03,1.03,905568.0
2022-11-03,1.03,1.07,1.02,1.06,1.06,455487.0
2022-11-04,1.1,1.11,1.06,1.09,1.09,692954.0
2022-11-07,1.09,1.11,1.06,1.11,1.11,315689.0
2022-11-08,1.11,1.12,1.0,1.05,1.05,1982456.0
2022-11-09,1.01,1.05,0.94,0.94,0.94,1544893.0
2022-11-10,1.03,1.06,1.0,1.01,1.01,1146681.0
2022-11-11,1.0,1.14,0.99,1.1,1.1,3146213.0
2022-11-14,1.09,1.15,1.04,1.14,1.14,939271.0
2022-11-15,1.16,1.25,1.15,1.21,1.21,1657832.0
2022-11-16,1.18,1.18,1.07,1.11,1.11,723728.0
2022-11-17,1.09,1.09,1.02,1.03,1.03,656405.0
2022-11-18,1.03,1.03,1.0,1.0,1.0,917822.0
2022-11-21,0.99,1.0,0.85,0.88,0.88,2957307.0
2022-11-22,0.89,0.95,0.86,0.9,0.9,1223254.0
2022-11-23,0.94,0.94,0.88,0.92,0.92,472761.0
2022-11-25,0.92,0.94,0.89,0.91,0.91,507713.0
2022-11-28,0.9,0.93,0.86,0.87,0.87,651782.0
2022-11-29,0.89,0.9,0.86,0.86,0.86,558154.0
2022-11-30,0.88,0.93,0.87,0.92,0.92,946103.0
2022-12-01,0.93,0.96,0.91,0.93,0.93,412217.0
2022-12-02,0.9,0.95,0.88,0.94,0.94,495296.0
2022-12-05,0.93,0.96,0.86,0.87,0.87,895697.0
2022-12-06,0.86,0.88,0.78,0.78,0.78,1017327.0
2022-12-07,0.79,0.79,0.73,0.73,0.73,675681.0
2022-12-08,0.73,0.77,0.73,0.76,0.76,418657.0
2022-12-09,0.77,0.78,0.73,0.75,0.75,416844.0
2022-12-12,0.75,0.76,0.73,0.74,0.74,573020.0
2022-12-13,0.79,0.83,0.74,0.75,0.75,801155.0
2022-12-14,0.74,0.77,0.74,0.75,0.75,639898.0
2022-12-15,0.74,0.74,0.68,0.69,0.69,723530.0
2022-12-16,0.66,0.71,0.65,0.68,0.68,1818200.0
2022-12-19,0.69,0.69,0.55,0.56,0.56,1329050.0
2022-12-20,0.55,0.62,0.55,0.57,0.57,1237131.0
2022-12-21,0.59,0.62,0.56,0.58,0.58,714155.0
2022-12-22,0.56,0.63,0.56,0.63,0.63,937417.0
2022-12-23,0.65,0.65,0.59,0.61,0.61,519218.0
2022-12-27,0.61,0.62,0.54,0.54,0.54,692108.0
2022-12-28,0.54,0.58,0.53,0.54,0.54,581786.0
2022-12-29,0.54,0.59,0.54,0.57,0.57,967995.0
2022-12-30,0.57,0.6,0.53,0.6,0.6,900094.0
2023-01-03,0.62,0.65,0.62,0.65,0.65,657591.0
2023-01-04,0.65,0.73,0.64,0.73,0.73,1344934.0
2023-01-05,0.72,0.79,0.68,0.78,0.78,920922.0
2023-01-06,0.79,0.79,0.72,0.73,0.73,498500.0
2023-01-09,0.79,1.09,0.79,0.89,0.89,6962415.0
2023-01-10,0.91,1.05,0.88,1.01,1.01,3775322.0
2023-01-11,1.0,1.05,0.93,0.99,0.99,2203735.0
2023-01-12,1.06,1.15,0.92,1.09,1.09,5566309.0
2023-01-13,1.03,1.19,1.01,1.18,1.18,5071390.0
2023-01-17,1.45,1.47,1.26,1.4,1.4,13542403.0
2023-01-18,1.4,1.41,1.21,1.23,1.23,4395420.0
2023-01-19,1.15,1.24,1.12,1.21,1.21,3353411.0
2023-01-20,1.24,1.33,1.21,1.26,1.26,3138856.0
2023-01-23,1.26,1.43,1.26,1.42,1.42,4700184.0
2023-01-24,1.39,1.5,1.34,1.39,1.39,2790241.0
2023-01-25,1.34,1.43,1.26,1.4,1.4,2093542.0
2023-01-26,1.46,1.5,1.38,1.41,1.41,1709079.0
2023-01-27,1.38,1.46,1.38,1.46,1.46,1877527.0
2023-01-30,1.43,1.57,1.41,1.44,1.44,2817452.0
2023-01-31,1.5,1.5,1.41,1.44,1.44,1249926.0
2023-02-01,1.5,1.62,1.46,1.6,1.6,2537062.0
2023-02-02,1.69,1.75,1.62,1.69,1.69,3806477.0
2023-02-03,1.57,1.74,1.53,1.59,1.59,2132157.0
2023-02-06,1.56,1.57,1.42,1.51,1.51,2126167.0
2023-02-07,1.52,1.52,1.43,1.48,1.48,1365542.0
2023-02-08,1.48,1.5,1.34,1.35,1.35,1779394.0
2023-02-09,1.37,1.39,1.2,1.2,1.2,2192975.0
2023-02-10,1.2,1.23,1.18,1.18,1.18,879866.0
2023-02-13,1.2,1.21,1.17,1.18,1.18,932756.0
2023-02-14,1.19,1.39,1.16,1.37,1.37,1878982.0
2023-02-15,1.39,1.55,1.33,1.54,1.54,2936265.0
2023-02-16,1.54,1.68,1.43,1.45,1.45,3455381.0
2023-02-17,1.41,1.49,1.35,1.49,1.49,2176805.0
2023-02-21,1.44,1.53,1.38,1.41,1.41,1470753.0
2023-02-22,1.36,1.43,1.3,1.37,1.37,1264899.0
2023-02-23,1.4,1.4,1.31,1.37,1.37,927922.0
2023-02-24,1.34,1.34,1.23,1.27,1.27,1086535.0
2023-02-27,1.26,1.33,1.23,1.23,1.23,818687.0
2023-02-28,1.25,1.32,1.24,1.26,1.26,1246147.0
2023-03-01,1.28,1.3,1.23,1.27,1.27,964297.0
2023-03-02,1.22,1.3,1.19,1.26,1.26,1028271.0
2023-03-03,1.2,1.26,1.2,1.24,1.24,1204268.0
2023-03-06,1.21,1.31,1.21,1.23,1.23,907303.0
2023-03-07,1.24,1.25,1.16,1.16,1.16,850405.0
2023-03-08,1.16,1.21,1.15,1.18,1.18,682762.0
2023-03-09,1.17,1.19,1.06,1.07,1.07,1028649.0
2023-03-10,1.02,1.04,0.97,1.0,1.0,1635638.0
2023-03-13,1.06,1.2,1.02,1.17,1.17,2394487.0
