Date,Open,High,Low,Close,Adj Close,Volume
2023-04-14,9.7,9.7,6.3,7.03,7.03,554703.0
2023-04-17,6.39,7.83,6.39,6.9,6.9,202033.0
2023-04-18,6.62,7.7,6.2,6.7,6.7,241378.0
2023-04-19,6.68,7.1,6.24,6.41,6.41,80959.0
2023-04-20,6.2,6.32,5.7,6.15,6.15,194657.0
2023-04-21,5.87,7.48,5.87,6.68,6.68,181762.0
2023-04-24,6.6,7.4,6.6,6.92,6.92,55888.0
2023-04-25,6.78,7.22,6.6,6.92,6.92,66938.0
2023-04-26,6.95,8.16,6.95,7.71,7.71,83995.0
2023-04-27,7.41,7.79,7.24,7.6,7.6,27247.0
2023-04-28,7.65,7.78,7.14,7.5,7.5,85493.0
2023-05-01,7.35,7.62,7.2,7.35,7.35,23906.0
2023-05-02,7.07,7.36,7.0,7.19,7.19,28389.0
2023-05-03,7.57,7.57,6.8,6.81,6.81,27522.0
2023-05-04,6.9,6.9,6.1,6.25,6.25,81024.0
2023-05-05,6.5,6.7,6.0,6.27,6.27,68429.0
2023-05-08,6.2,6.2,5.7,5.79,5.79,70648.0
2023-05-09,5.72,6.18,5.72,5.93,5.93,31719.0
2023-05-10,6.04,6.43,6.02,6.06,6.06,11538.0
2023-05-11,6.0,6.03,5.5,5.51,5.51,69623.0
2023-05-12,5.6,6.12,5.51,5.62,5.62,65512.0
2023-05-15,5.69,5.84,5.3,5.55,5.55,49317.0
2023-05-16,5.35,5.67,5.2,5.46,5.46,26657.0
2023-05-17,5.31,5.64,5.26,5.42,5.42,16241.0
2023-05-18,5.42,5.5,5.06,5.06,5.06,32228.0
2023-05-19,5.36,5.36,4.63,4.81,4.81,90759.0
2023-05-22,4.81,5.09,4.75,4.87,4.87,15318.0
2023-05-23,5.02,5.28,5.01,5.14,5.14,14840.0
2023-05-24,4.93,5.14,4.93,5.0,5.0,10609.0
2023-05-25,5.0,5.04,4.93,4.93,4.93,1937.0
2023-05-26,5.08,5.28,4.94,5.12,5.12,10696.0
2023-05-30,5.27,5.48,5.01,5.03,5.03,30787.0
2023-05-31,5.06,5.48,4.6,4.92,4.92,42362.0
2023-06-01,4.94,5.25,4.85,5.03,5.03,5878.0
2023-06-02,4.9,5.26,4.85,4.85,4.85,10545.0
2023-06-05,5.12,5.16,4.75,4.83,4.83,183627.0
2023-06-06,4.65,5.17,4.65,5.17,5.17,56703.0
2023-06-07,5.11,5.22,4.85,4.99,4.99,36986.0
2023-06-08,5.01,5.07,4.88,5.01,5.01,9406.0
2023-06-09,5.08,5.24,5.04,5.05,5.05,19991.0
2023-06-12,5.11,6.5,5.09,6.24,6.24,225785.0
2023-06-13,6.02,7.48,5.83,7.4,7.4,344990.0
2023-06-14,7.4,7.52,7.24,7.48,7.48,118050.0
2023-06-15,7.45,9.68,7.18,7.56,7.56,214441.0
2023-06-16,8.46,11.6,7.56,11.41,11.41,712299.0
2023-06-20,10.6,12.85,9.92,10.73,10.73,388415.0
2023-06-21,10.74,11.0,10.5,10.88,10.88,107508.0
2023-06-22,10.53,11.73,10.5,11.41,11.41,95860.0
2023-06-23,11.51,11.79,11.0,11.37,11.37,33350.0
2023-06-26,11.3,11.3,10.79,11.0,11.0,33968.0
2023-06-27,10.85,10.85,10.2,10.54,10.54,117769.0
2023-06-28,10.39,10.87,10.25,10.47,10.47,22948.0
2023-06-29,10.47,11.88,10.32,11.88,11.88,97814.0
2023-06-30,11.51,11.8,10.58,11.2,11.2,39066.0
2023-07-03,11.19,11.65,10.52,11.49,11.49,12542.0
2023-07-05,11.34,12.0,11.34,11.79,11.79,20283.0
2023-07-06,11.65,12.73,11.5,12.49,12.49,25546.0
2023-07-07,12.06,12.65,12.02,12.64,12.64,35173.0
2023-07-10,12.51,14.09,12.17,13.2,13.2,84941.0
2023-07-11,13.06,13.2,11.0,12.61,12.61,59231.0
2023-07-12,12.21,12.6,11.77,11.9,11.9,49308.0
2023-07-13,12.06,13.74,12.06,13.74,13.74,63934.0
2023-07-14,13.74,14.3,13.17,14.01,14.01,193944.0
2023-07-17,14.1,14.51,13.89,14.27,14.27,65208.0
2023-07-18,14.28,14.28,12.8,12.91,12.91,40736.0
2023-07-19,13.19,13.87,12.02,12.42,12.42,114119.0
2023-07-20,12.41,12.42,11.82,12.05,12.05,47984.0
2023-07-21,12.01,12.01,10.6,11.28,11.28,91796.0
2023-07-24,10.83,10.83,10.2,10.25,10.25,52235.0
2023-07-25,10.38,10.8,10.23,10.27,10.27,22642.0
2023-07-26,10.21,10.6,10.2,10.2,10.2,14752.0
