Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,3.19,3.37,3.18,3.37,3.37,173742.0
2022-05-03,3.37,3.49,3.28,3.43,3.43,231788.0
2022-05-04,3.31,3.35,3.17,3.29,3.29,232073.0
2022-05-05,3.2,3.32,3.1,3.19,3.19,140789.0
2022-05-06,3.13,3.18,3.01,3.02,3.02,122930.0
2022-05-09,2.98,3.0,2.77,2.8,2.8,157302.0
2022-05-10,2.82,2.9,2.61,2.65,2.65,276630.0
2022-05-11,2.74,2.79,2.5,2.54,2.54,215971.0
2022-05-12,2.54,2.83,2.47,2.73,2.73,208561.0
2022-05-13,2.8,2.89,2.66,2.69,2.69,238053.0
2022-05-16,2.9,3.03,2.75,2.88,2.88,343550.0
2022-05-17,3.02,3.3,3.02,3.18,3.18,368333.0
2022-05-18,3.11,3.29,3.11,3.2,3.2,267725.0
2022-05-19,3.15,3.39,3.12,3.34,3.34,266659.0
2022-05-20,3.33,3.39,3.26,3.32,3.32,293242.0
2022-05-23,3.32,3.8,3.29,3.64,3.64,955349.0
2022-05-24,2.95,3.2,2.85,2.99,2.99,666737.0
2022-05-25,2.85,2.97,2.61,2.85,2.85,439638.0
2022-05-26,2.77,2.99,2.39,2.64,2.64,890524.0
2022-05-27,2.59,2.89,2.59,2.86,2.86,371390.0
2022-05-31,2.8,3.24,2.77,3.13,3.13,1098344.0
2022-06-01,3.03,3.19,3.01,3.08,3.08,162861.0
2022-06-02,3.08,3.26,3.08,3.19,3.19,264428.0
2022-06-03,3.16,3.28,3.05,3.22,3.22,197044.0
2022-06-06,3.23,3.33,3.23,3.27,3.27,223298.0
2022-06-07,3.22,3.33,3.19,3.28,3.28,98994.0
2022-06-08,3.26,3.35,3.25,3.34,3.34,142506.0
2022-06-09,3.25,3.31,3.21,3.21,3.21,138693.0
2022-06-10,2.95,3.25,2.78,3.08,3.08,248168.0
2022-06-13,2.93,3.22,2.9,3.04,3.04,218127.0
2022-06-14,3.06,3.33,3.06,3.25,3.25,243496.0
2022-06-15,3.26,3.31,3.17,3.24,3.24,97939.0
2022-06-16,2.28,3.38,2.28,3.14,3.14,1586449.0
2022-06-17,3.02,3.05,2.88,2.99,2.99,309404.0
2022-06-21,2.84,2.96,2.8,2.84,2.84,159570.0
2022-06-22,2.8,3.02,2.75,2.96,2.96,121390.0
2022-06-23,2.96,2.96,2.62,2.79,2.79,175805.0
2022-06-24,2.79,2.8,2.73,2.77,2.77,102212.0
2022-06-27,2.77,2.77,2.63,2.69,2.69,135970.0
2022-06-28,2.65,2.69,2.5,2.5,2.5,180079.0
2022-06-29,2.5,2.55,2.37,2.38,2.38,170272.0
2022-06-30,2.34,2.35,2.24,2.25,2.25,324853.0
2022-07-01,2.22,2.35,2.21,2.32,2.32,104705.0
2022-07-05,2.32,2.51,2.3,2.34,2.34,195878.0
2022-07-06,2.33,2.38,2.22,2.23,2.23,119034.0
2022-07-07,2.23,2.34,2.23,2.3,2.3,160572.0
2022-07-08,2.27,2.36,2.21,2.26,2.26,162937.0
2022-07-11,2.19,2.31,2.17,2.24,2.24,113576.0
2022-07-12,2.2,2.35,2.2,2.25,2.25,60293.0
2022-07-13,2.33,2.35,2.21,2.3,2.3,74372.0
2022-07-14,2.24,2.43,2.21,2.34,2.34,57492.0
2022-07-15,2.4,2.41,2.34,2.34,2.34,14811.0
2022-07-18,2.5,2.58,2.36,2.58,2.58,199254.0
2022-07-19,2.59,2.59,2.4,2.48,2.48,35280.0
2022-07-20,2.49,2.61,2.45,2.57,2.57,82732.0
2022-07-21,2.79,2.87,2.58,2.87,2.87,150011.0
2022-07-22,2.74,2.74,2.53,2.53,2.53,33657.0
2022-07-25,2.53,2.7,2.41,2.62,2.62,108043.0
2022-07-26,2.58,2.72,2.5,2.67,2.67,50004.0
2022-07-27,2.73,2.78,2.68,2.74,2.74,101158.0
2022-07-28,2.75,2.8,2.7,2.77,2.77,46789.0
2022-07-29,2.73,2.77,2.64,2.7,2.7,79559.0
2022-08-01,2.62,2.65,2.55,2.56,2.56,28818.0
2022-08-02,2.51,2.74,2.51,2.68,2.68,67064.0
