Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,3.01,3.19,2.97,3.17,3.17,325934.0
2022-05-03,3.15,3.26,3.07,3.18,3.18,290962.0
2022-05-04,3.16,3.32,2.96,3.27,3.27,326296.0
2022-05-05,3.15,3.23,2.85,2.92,2.92,270104.0
2022-05-06,2.9,3.03,2.75,2.93,2.93,382526.0
2022-05-09,2.79,3.32,2.19,3.23,3.23,1331081.0
2022-05-10,2.48,2.75,1.59,1.72,1.72,2002011.0
2022-05-11,1.59,1.78,1.55,1.63,1.63,673504.0
2022-05-12,1.64,1.69,1.29,1.66,1.66,968367.0
2022-05-13,1.71,1.99,1.71,1.94,1.94,640923.0
2022-05-16,1.94,1.96,1.75,1.75,1.75,374992.0
2022-05-17,1.86,1.93,1.75,1.89,1.89,283775.0
2022-05-18,1.83,2.01,1.81,1.82,1.82,266586.0
2022-05-19,1.81,2.02,1.81,1.97,1.97,345065.0
2022-05-20,1.97,2.09,1.9,1.93,1.93,264782.0
2022-05-23,2.02,2.03,1.86,1.97,1.97,222832.0
2022-05-24,1.95,1.96,1.78,1.92,1.92,280078.0
2022-05-25,1.88,2.04,1.85,1.98,1.98,235576.0
2022-05-26,1.99,2.16,1.92,2.14,2.14,283865.0
2022-05-27,2.18,2.29,2.13,2.26,2.26,254025.0
2022-05-31,2.45,2.47,2.21,2.43,2.43,648678.0
2022-06-01,2.44,2.57,2.2,2.25,2.25,398194.0
2022-06-02,2.23,2.55,2.22,2.52,2.52,306883.0
2022-06-03,2.46,2.47,2.25,2.3,2.3,285613.0
2022-06-06,2.38,2.42,2.04,2.05,2.05,340414.0
2022-06-07,2.0,2.02,1.7,1.89,1.89,588422.0
2022-06-08,1.85,1.99,1.85,1.91,1.91,188762.0
2022-06-09,1.85,1.91,1.71,1.71,1.71,326892.0
2022-06-10,1.67,1.76,1.64,1.64,1.64,161793.0
2022-06-13,1.6,1.6,1.46,1.48,1.48,369053.0
2022-06-14,1.48,1.54,1.48,1.5,1.5,243006.0
2022-06-15,1.52,1.66,1.47,1.61,1.61,320379.0
2022-06-16,1.55,1.59,1.41,1.43,1.43,261334.0
2022-06-17,1.45,1.82,1.38,1.82,1.82,903213.0
2022-06-21,1.82,1.91,1.61,1.7,1.7,844908.0
2022-06-22,1.69,1.73,1.52,1.55,1.55,354140.0
2022-06-23,1.57,1.62,1.51,1.57,1.57,375265.0
2022-06-24,1.59,1.69,1.48,1.57,1.57,4174661.0
2022-06-27,1.53,1.69,1.5,1.54,1.54,623508.0
2022-06-28,1.58,1.61,1.39,1.4,1.4,207985.0
2022-06-29,1.38,1.39,1.26,1.27,1.27,233743.0
2022-06-30,1.31,1.41,1.26,1.37,1.37,265729.0
2022-07-01,1.36,1.4,1.29,1.32,1.32,177328.0
2022-07-05,1.37,1.54,1.29,1.52,1.52,288841.0
2022-07-06,1.46,1.55,1.46,1.52,1.52,103431.0
2022-07-07,1.53,1.67,1.53,1.64,1.64,271220.0
2022-07-08,1.64,1.83,1.55,1.79,1.79,341128.0
2022-07-11,1.78,1.85,1.66,1.67,1.67,473943.0
2022-07-12,1.72,1.72,1.55,1.66,1.66,244465.0
2022-07-13,1.61,1.74,1.56,1.72,1.72,117646.0
2022-07-14,1.7,1.75,1.55,1.6,1.6,191179.0
2022-07-15,1.64,1.8,1.57,1.74,1.74,306653.0
2022-07-18,1.77,1.97,1.74,1.77,1.77,295379.0
2022-07-19,1.81,1.96,1.8,1.88,1.88,396589.0
2022-07-20,1.91,2.1,1.87,1.98,1.98,468903.0
2022-07-21,1.95,2.0,1.9,2.0,2.0,80389.0
2022-07-22,2.01,2.01,1.78,1.79,1.79,124038.0
2022-07-25,1.77,1.79,1.68,1.69,1.69,87242.0
2022-07-26,1.67,1.67,1.51,1.53,1.53,167731.0
2022-07-27,1.6,1.67,1.51,1.59,1.59,239511.0
2022-07-28,1.62,1.77,1.55,1.67,1.67,175269.0
2022-07-29,1.68,1.74,1.65,1.72,1.72,156467.0
2022-08-01,1.71,1.71,1.59,1.63,1.63,185010.0
2022-08-02,1.61,1.92,1.61,1.85,1.85,226053.0
2022-08-03,1.89,2.04,1.89,2.01,2.01,221901.0
2022-08-04,2.06,2.13,1.96,2.1,2.1,199294.0
2022-08-05,2.05,2.25,2.0,2.19,2.19,268704.0
2022-08-08,2.21,2.38,2.07,2.12,2.12,275951.0
2022-08-09,2.06,2.25,2.02,2.17,2.17,178504.0
2022-08-10,2.26,2.34,2.15,2.32,2.32,151093.0
2022-08-11,2.5,2.54,2.2,2.27,2.27,244515.0
2022-08-12,2.32,2.38,2.22,2.34,2.34,201492.0
2022-08-15,2.34,2.56,2.3,2.49,2.49,187285.0
2022-08-16,2.5,2.67,2.39,2.6,2.6,387718.0
2022-08-17,2.61,2.61,2.19,2.24,2.24,251488.0
2022-08-18,2.21,2.26,2.0,2.03,2.03,163435.0
2022-08-19,1.93,1.95,1.78,1.8,1.8,357567.0
2022-08-22,1.75,1.78,1.66,1.73,1.73,192087.0
2022-08-23,1.79,1.81,1.63,1.67,1.67,324115.0
2022-08-24,1.73,1.85,1.69,1.73,1.73,252015.0
2022-08-25,1.78,1.87,1.72,1.86,1.86,188292.0
2022-08-26,1.86,1.9,1.75,1.79,1.79,205340.0
2022-08-29,1.73,1.91,1.71,1.83,1.83,174321.0
2022-08-30,1.85,1.99,1.85,1.96,1.96,217586.0
2022-08-31,1.98,2.09,1.86,2.01,2.01,1087089.0
2022-09-01,1.98,1.98,1.78,1.79,1.79,132771.0
2022-09-02,1.79,1.79,1.71,1.73,1.73,113354.0
2022-09-06,1.71,1.73,1.48,1.49,1.49,337521.0
2022-09-07,1.49,1.58,1.36,1.4,1.4,416282.0
2022-09-08,1.38,1.57,1.34,1.57,1.57,469348.0
2022-09-09,1.63,1.73,1.58,1.67,1.67,250263.0
2022-09-12,1.72,1.84,1.67,1.81,1.81,229299.0
2022-09-13,1.62,1.79,1.6,1.71,1.71,269361.0
2022-09-14,1.74,1.74,1.62,1.7,1.7,129421.0
