Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,94.27,96.05,92.58,95.92,95.92,6980671.0
2022-05-03,96.68,99.53,96.14,98.93,98.93,5748014.0
2022-05-04,101.0,104.19,99.11,103.86,103.86,7989800.0
2022-05-05,104.59,106.58,100.53,102.86,102.86,10592982.0
2022-05-06,104.17,107.71,102.8,107.69,107.69,9213091.0
2022-05-09,105.17,105.5,96.48,97.2,97.2,9750874.0
2022-05-10,98.88,101.52,95.97,98.0,98.0,7845924.0
2022-05-11,99.71,102.89,98.8,99.04,99.04,6651649.0
2022-05-12,98.45,99.66,95.47,99.6,99.6,7244408.0
2022-05-13,100.83,103.81,100.7,102.91,102.91,6549927.0
2022-05-16,103.08,107.09,102.64,105.5,105.5,7990622.0
2022-05-17,107.08,108.3,105.71,107.02,107.02,6577545.0
2022-05-18,107.72,108.1,102.76,104.48,104.48,8956954.0
2022-05-19,101.83,106.71,101.83,104.61,104.61,6784087.0
2022-05-20,105.13,107.55,102.19,105.02,105.02,6717710.0
2022-05-23,106.04,109.43,105.77,109.02,109.02,8646902.0
2022-05-24,107.95,109.98,106.3,109.48,109.48,6859109.0
2022-05-25,109.95,111.53,109.55,111.2,111.2,6706998.0
2022-05-26,112.63,114.6,112.18,113.15,113.15,6159020.0
2022-05-27,112.15,114.6,111.87,114.6,114.6,6788667.0
2022-05-31,116.23,117.99,111.32,112.36,112.36,17278542.0
2022-06-01,114.36,117.3,114.18,115.75,115.75,7246645.0
2022-06-02,114.26,115.95,113.11,114.96,114.96,5042665.0
2022-06-03,115.45,118.42,115.12,118.12,118.12,5387105.0
2022-06-06,118.19,118.81,116.62,117.38,117.38,5608362.0
2022-06-07,117.18,122.71,117.13,122.71,122.71,8559028.0
2022-06-08,122.72,124.08,121.5,121.86,121.86,7010902.0
2022-06-09,120.62,121.78,118.43,118.56,118.56,6653439.0
2022-06-10,117.0,119.64,115.3,116.83,116.83,7299647.0
2022-06-13,112.45,114.02,108.37,111.76,111.76,9516863.0
2022-06-14,114.02,116.16,110.04,111.49,111.49,7737670.0
2022-06-15,111.49,112.06,107.59,109.33,109.33,7681383.0
2022-06-16,105.01,106.21,101.13,102.42,102.42,11848362.0
2022-06-17,101.49,102.34,92.81,93.74,93.74,24455113.0
2022-06-21,96.02,100.1,95.98,99.28,99.28,10454859.0
2022-06-22,92.85,95.05,91.46,93.06,93.06,11287463.0
2022-06-23,93.75,94.2,87.26,87.89,87.89,13554892.0
2022-06-24,90.0,92.05,88.36,90.91,90.91,12282392.0
2022-06-27,91.58,93.79,90.95,92.23,92.23,8986106.0
2022-06-28,94.98,97.07,93.55,95.22,95.22,8904586.0
2022-06-29,96.89,97.45,91.28,91.46,91.46,7990081.0
2022-06-30,88.56,91.71,87.83,89.81,89.81,12749010.0
2022-07-01,91.93,92.31,88.31,90.98,90.98,6004979.0
2022-07-05,89.35,89.35,83.06,84.64,84.64,13488003.0
2022-07-06,83.71,85.69,80.44,83.34,83.34,12130929.0
2022-07-07,86.19,87.21,85.68,86.35,86.35,8072413.0
2022-07-08,87.53,87.86,84.67,86.46,86.46,5615501.0
2022-07-11,85.59,86.6,84.19,85.55,85.55,4689352.0
2022-07-12,82.56,84.04,81.61,83.45,83.45,5573054.0
2022-07-13,82.36,85.19,82.36,83.11,83.11,5535252.0
2022-07-14,79.83,81.77,78.3,81.61,81.61,8890151.0
2022-07-15,83.87,83.94,81.81,82.89,82.89,5898990.0
2022-07-18,84.74,86.39,84.65,85.07,85.07,7057624.0
2022-07-19,85.41,88.71,84.88,88.48,88.48,6674814.0
2022-07-20,87.75,91.22,87.22,90.71,90.71,7720461.0
2022-07-21,87.35,89.06,86.87,88.93,88.93,8016664.0
2022-07-22,89.21,90.19,87.54,88.13,88.13,6243528.0
2022-07-25,89.46,92.14,87.79,92.05,92.05,5815080.0
2022-07-26,93.44,94.18,89.97,91.09,91.09,7127158.0
2022-07-27,92.04,93.66,91.29,93.27,93.27,6237834.0
2022-07-28,94.22,95.26,92.6,94.06,94.06,4656115.0
2022-07-29,96.18,97.92,95.4,97.43,97.43,7394770.0
2022-08-01,95.31,96.06,93.68,95.1,95.1,5598924.0
2022-08-02,95.1,95.85,93.93,94.71,94.71,4653034.0
2022-08-03,95.35,95.68,90.43,91.32,91.32,6783271.0
2022-08-04,92.74,93.0,89.28,89.88,89.88,7810483.0
2022-08-05,88.22,93.42,88.0,92.85,92.85,5848042.0
2022-08-08,93.02,94.69,92.85,93.63,93.63,4788154.0
2022-08-09,95.3,97.28,94.86,95.51,95.51,7477881.0
2022-08-10,95.39,96.31,93.16,95.98,95.98,5625750.0
2022-08-11,98.12,101.32,97.52,100.36,100.36,6481603.0
2022-08-12,99.75,102.96,99.35,102.75,102.75,6684131.0
2022-08-15,98.39,101.46,97.55,100.77,100.77,6585945.0
2022-08-16,101.21,102.05,98.93,100.1,100.1,6924364.0
2022-08-17,100.1,102.69,99.77,101.36,101.36,5346541.0
2022-08-18,102.65,105.11,102.22,104.88,104.88,5966657.0
2022-08-19,104.59,105.69,103.53,105.14,105.14,7067070.0
2022-08-22,103.67,105.69,102.54,105.24,105.24,6701726.0
2022-08-23,107.23,110.68,106.74,108.45,108.45,8252951.0
2022-08-24,108.11,110.76,107.84,110.52,110.52,6286120.0
2022-08-25,111.45,112.14,110.65,112.08,112.08,5240955.0
2022-08-26,112.62,114.25,111.49,112.12,112.12,6508841.0
2022-08-29,112.09,115.47,111.89,113.42,113.42,6479677.0
2022-08-30,111.17,111.51,108.9,110.5,110.5,7746894.0
2022-08-31,107.85,111.86,107.05,109.45,109.45,6775742.0
2022-09-01,107.78,108.94,105.75,107.53,107.53,6717327.0
2022-09-02,109.64,112.0,109.0,110.26,110.26,6096743.0
2022-09-06,111.0,111.68,108.08,108.63,108.63,7270939.0
2022-09-07,105.82,107.51,104.76,106.76,106.76,6890850.0
2022-09-08,107.34,109.19,106.6,108.32,108.32,7147237.0
2022-09-09,110.05,112.42,109.87,111.97,111.97,6085960.0
2022-09-12,112.95,115.41,112.82,114.39,114.39,6208604.0
2022-09-13,112.9,114.39,111.82,112.33,112.33,6977448.0
2022-09-14,113.69,118.39,113.46,117.71,117.71,9457897.0
2022-09-15,115.14,117.22,114.63,115.56,115.56,9997473.0
2022-09-16,115.57,115.64,111.2,113.13,113.13,14608194.0
2022-09-19,109.8,113.48,109.44,112.87,112.87,6600643.0
2022-09-20,112.55,112.84,110.55,112.07,112.07,5655402.0
2022-09-21,114.17,114.89,111.06,111.09,111.09,5818006.0
2022-09-22,113.2,113.85,109.93,110.06,110.06,4971638.0
2022-09-23,105.09,105.27,99.6,100.59,100.59,10157266.0
2022-09-26,100.09,102.72,99.12,99.2,99.2,8719008.0
2022-09-27,101.37,102.58,98.52,98.76,98.76,8778984.0
2022-09-28,98.83,103.44,98.46,103.0,103.0,9207531.0
2022-09-29,101.59,104.09,99.89,103.66,103.66,5929783.0
2022-09-30,102.43,103.93,101.0,102.34,102.34,7171985.0
2022-10-03,106.93,110.84,106.53,109.97,109.97,7701872.0
2022-10-04,112.47,115.85,111.72,115.62,115.62,7582876.0
2022-10-05,116.25,117.26,113.76,115.93,115.93,10072971.0
2022-10-06,114.79,118.36,114.68,117.65,117.65,6388906.0
2022-10-07,118.14,121.36,117.32,118.51,118.51,9373513.0
2022-10-10,118.61,120.44,115.45,116.8,116.8,5883230.0
2022-10-11,114.11,118.11,113.21,115.58,115.58,7602529.0
2022-10-12,114.76,117.34,113.99,116.3,116.3,6221624.0
2022-10-13,114.5,123.41,114.43,122.74,122.74,7999109.0
2022-10-14,121.09,122.98,117.04,117.96,117.96,7647416.0
2022-10-17,119.78,121.44,118.02,118.36,118.36,6666960.0
2022-10-18,119.58,120.04,115.7,117.89,117.89,6826198.0
2022-10-19,118.42,121.6,118.09,121.11,121.11,5500398.0
2022-10-20,122.5,124.91,121.78,121.81,121.81,6456075.0
2022-10-21,122.67,124.76,121.57,124.49,124.49,5886227.0
2022-10-24,124.53,126.4,124.2,125.14,125.14,5734912.0
2022-10-25,124.33,125.49,122.88,123.94,123.94,7000792.0
2022-10-26,124.72,128.18,124.58,126.57,126.57,8141443.0
2022-10-27,127.7,129.45,126.24,126.64,126.64,8948517.0
2022-10-28,128.5,128.99,124.01,127.17,127.17,7293389.0
2022-10-31,125.58,129.99,125.57,126.09,126.09,7121033.0
2022-11-01,128.74,129.32,126.89,127.78,127.78,5875587.0
2022-11-02,127.08,129.8,125.79,126.51,126.51,7681864.0
2022-11-03,129.62,136.12,128.29,133.82,133.82,13209063.0
2022-11-04,137.0,138.49,129.65,132.32,132.32,10663704.0
2022-11-07,132.75,136.42,132.61,134.94,134.94,6882396.0
2022-11-08,134.3,135.28,132.23,134.44,134.44,5039770.0
2022-11-09,132.46,132.57,124.89,125.26,125.26,7069481.0
2022-11-10,128.1,129.77,125.57,129.46,129.46,7543858.0
2022-11-11,131.2,134.86,130.56,133.96,133.96,8662041.0
2022-11-14,132.38,135.68,132.28,133.03,133.03,6163372.0
2022-11-15,133.59,134.84,131.91,134.09,134.09,8300574.0
2022-11-16,132.58,133.5,129.09,129.24,129.24,7365573.0
2022-11-17,127.59,131.37,127.03,131.19,131.19,5737002.0
2022-11-18,128.41,129.2,126.5,128.59,128.59,5727237.0
2022-11-21,125.04,127.11,121.81,125.49,125.49,6573237.0
2022-11-22,128.0,130.55,126.46,129.98,129.98,5604173.0
2022-11-23,127.59,129.22,125.8,126.74,126.74,7482609.0
2022-11-25,126.89,127.77,126.5,126.81,126.81,2547757.0
2022-11-28,122.7,125.06,121.24,123.84,123.84,5649277.0
2022-11-29,125.82,126.83,123.92,124.25,124.25,4909898.0
2022-11-30,126.65,126.68,122.44,123.51,123.51,8484461.0
2022-12-01,124.67,125.37,122.89,123.06,123.06,5285124.0
2022-12-02,122.12,123.87,121.34,122.18,122.18,4879727.0
2022-12-05,124.26,124.69,118.71,119.37,119.37,5478737.0
2022-12-06,118.44,119.74,114.54,115.61,115.61,6498386.0
2022-12-07,116.29,117.6,114.09,114.88,114.88,6099116.0
2022-12-08,117.79,117.89,111.88,112.6,112.6,7720368.0
2022-12-09,112.41,113.95,109.73,110.02,110.02,6385654.0
2022-12-12,110.9,112.3,110.07,111.78,111.78,5636529.0
2022-12-13,114.45,115.59,113.37,113.41,113.41,6285220.0
2022-12-14,114.75,115.65,112.04,112.87,112.87,5926992.0
2022-12-15,111.64,112.92,110.47,112.55,112.55,6401004.0
2022-12-16,110.45,111.22,109.01,110.44,110.44,17422571.0
2022-12-19,112.16,112.76,109.64,110.44,110.44,4991437.0
2022-12-20,110.45,113.81,110.0,112.65,112.65,5538726.0
2022-12-21,114.94,116.67,113.55,116.28,116.28,5433018.0
2022-12-22,116.05,116.78,109.84,112.9,112.9,5295900.0
2022-12-23,113.65,117.1,113.65,117.05,117.05,5001719.0
2022-12-27,117.92,119.06,117.06,118.47,118.47,3849439.0
2022-12-28,118.21,118.27,114.74,115.31,115.31,3856401.0
2022-12-29,114.73,117.0,114.62,116.39,116.39,2921561.0
2022-12-30,116.07,118.21,116.01,118.0,118.0,4220531.0
2023-01-03,116.56,117.98,111.92,113.12,113.12,5424363.0
2023-01-04,111.22,114.31,110.46,113.34,113.34,4837794.0
2023-01-05,113.53,117.8,113.53,116.77,116.77,5177715.0
2023-01-06,118.5,120.19,117.54,118.23,118.23,4442319.0
2023-01-09,120.32,120.66,116.86,117.36,117.36,5403382.0
2023-01-10,118.23,118.62,116.68,118.08,118.08,4042752.0
2023-01-11,119.19,119.55,116.91,118.24,118.24,4569918.0
2023-01-12,118.39,121.1,117.85,120.16,120.16,5072452.0
2023-01-13,120.58,121.85,118.51,121.47,121.47,4360209.0
2023-01-17,121.06,122.54,119.56,120.24,120.24,5228472.0
2023-01-18,121.2,123.71,118.36,118.55,118.55,5138681.0
2023-01-19,117.55,120.26,116.26,119.64,119.64,5049200.0
2023-01-20,120.16,121.91,119.25,121.8,121.8,5101417.0
2023-01-23,122.46,123.17,119.97,120.13,120.13,3963235.0
2023-01-24,121.0,121.0,117.64,118.81,118.81,4216908.0
2023-01-25,118.2,120.38,116.64,120.37,120.37,3984733.0
2023-01-26,122.29,124.73,120.8,124.65,124.65,5807356.0
2023-01-27,124.69,126.39,123.52,123.61,123.61,4857454.0
2023-01-30,122.09,122.6,120.33,120.53,120.53,5246251.0
2023-01-31,120.22,122.09,119.1,121.87,121.87,5200119.0
2023-02-01,120.71,120.97,115.2,117.7,117.7,7282283.0
2023-02-02,113.49,115.39,109.76,111.3,111.3,11531289.0
2023-02-03,111.31,112.39,107.76,108.11,108.11,13504188.0
2023-02-06,108.57,109.95,106.73,107.49,107.49,11516341.0
2023-02-07,108.41,112.15,107.41,112.02,112.02,7370606.0
2023-02-08,112.23,113.0,109.84,110.79,110.79,6713232.0
2023-02-09,110.61,111.74,109.85,109.93,109.93,5768446.0
2023-02-10,111.98,115.37,111.83,115.06,115.06,10779152.0
2023-02-13,113.95,114.1,112.12,112.31,112.31,6018245.0
2023-02-14,111.0,114.45,110.55,113.55,113.55,7308073.0
2023-02-15,111.82,112.17,109.98,111.65,111.65,7205062.0
2023-02-16,110.88,111.71,108.09,108.36,108.36,6531921.0
2023-02-17,106.14,106.67,103.17,104.12,104.12,11294542.0
2023-02-21,104.01,106.12,103.51,105.31,105.31,7200780.0
2023-02-22,105.48,105.48,102.96,104.08,104.08,7929502.0
2023-02-23,106.0,106.4,104.07,105.43,105.43,6095809.0
2023-02-24,104.17,105.55,103.36,105.25,105.25,5617868.0
2023-02-27,105.17,106.18,103.44,105.86,105.86,7429338.0
2023-02-28,106.66,107.31,103.31,103.35,103.35,8771764.0
2023-03-01,103.73,107.68,103.23,106.25,106.25,6064687.0
2023-03-02,106.07,108.96,105.78,108.33,108.33,5459001.0
2023-03-03,106.27,109.08,105.82,108.64,108.64,7075136.0
2023-03-06,107.58,109.6,107.1,109.56,109.56,6201092.0
2023-03-07,108.59,108.92,106.67,107.65,107.65,4973233.0
2023-03-08,107.0,108.53,105.76,107.23,107.23,4576832.0
2023-03-09,107.92,109.25,105.36,105.81,105.81,5191573.0
2023-03-10,105.73,107.33,103.6,104.22,104.22,5313088.0
2023-03-13,102.0,103.58,99.57,100.68,100.68,8789731.0
2023-03-14,101.05,104.42,99.62,101.36,101.36,7090814.0
2023-03-15,97.42,98.71,93.59,95.24,95.24,10661237.0
2023-03-16,92.01,96.5,91.53,96.4,96.4,10112607.0
2023-03-17,96.35,96.95,93.5,94.39,94.39,17056186.0
2023-03-20,94.84,96.89,94.71,96.16,96.16,7932903.0
2023-03-21,98.09,100.09,98.0,99.71,99.71,6770198.0
2023-03-22,100.0,101.09,98.29,98.37,98.37,5635491.0
2023-03-23,98.51,99.76,95.5,96.42,96.42,5866448.0
2023-03-24,94.56,95.9,93.26,95.43,95.43,8386765.0
2023-03-27,96.31,98.5,95.6,97.48,97.48,6049698.0
2023-03-28,96.61,98.69,96.43,97.93,97.93,3791999.0
2023-03-29,99.64,100.3,98.67,99.75,99.75,7596324.0
2023-03-30,100.61,100.86,98.87,99.25,99.25,5461125.0
2023-03-31,99.81,99.9,98.94,99.21,99.21,7708836.0
2023-04-03,105.13,109.14,105.01,108.42,108.42,12394311.0
