Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,5.95,6.04,5.75,5.98,5.98,2356614.0
2022-05-03,6.0,6.02,5.36,5.62,5.62,3243928.0
2022-05-04,5.67,5.83,5.06,5.76,5.76,4325729.0
2022-05-05,5.59,5.62,5.1701,5.32,5.32,2249604.0
2022-05-06,5.23,5.34,4.83,5.17,5.17,5856365.0
2022-05-09,4.97,4.97,4.35,4.49,4.49,3435308.0
2022-05-10,4.74,4.74,4.14,4.28,4.28,3172435.0
2022-05-11,3.91,4.32,3.5,3.59,3.59,4719957.0
2022-05-12,3.51,3.87,3.09,3.85,3.85,5121572.0
2022-05-13,4.32,4.685,4.15,4.25,4.25,4150065.0
2022-05-16,4.31,4.335,3.825,3.85,3.85,3569268.0
2022-05-17,4.0,4.14,3.84,3.97,3.97,2114228.0
2022-05-18,3.83,3.96,3.65,3.74,3.74,2481466.0
2022-05-19,3.69,3.99,3.65,3.88,3.88,2374283.0
2022-05-20,4.0,4.095,3.54,3.72,3.72,2386408.0
2022-05-23,3.78,3.94,3.55,3.76,3.76,1680060.0
2022-05-24,3.64,3.64,3.39,3.4,3.4,2506647.0
2022-05-25,3.39,3.565,3.32,3.51,3.51,2739770.0
2022-05-26,3.48,3.7386,3.43,3.57,3.57,1969796.0
2022-05-27,3.64,3.885,3.63,3.69,3.69,2459046.0
2022-05-31,3.79,3.99,3.49,3.53,3.53,5735221.0
2022-06-01,3.54,3.6,2.99,3.03,3.03,5751865.0
2022-06-02,3.01,3.21,2.94,3.04,3.04,4787659.0
2022-06-03,3.0,3.04,2.64,2.78,2.78,7700232.0
2022-06-06,2.91,2.919,2.455,2.55,2.55,7858791.0
2022-06-07,2.42,2.59,2.35,2.56,2.56,4373984.0
2022-06-08,2.57,2.8483,2.55,2.65,2.65,5879435.0
2022-06-09,2.56,2.615,2.415,2.44,2.44,3725964.0
2022-06-10,2.4,2.51,2.32,2.33,2.33,3537282.0
2022-06-13,2.1,2.16,1.97,2.02,2.02,6059167.0
2022-06-14,2.13,2.15,1.99,2.14,2.14,3749781.0
2022-06-15,2.13,2.385,2.07,2.28,2.28,5883926.0
2022-06-16,2.15,2.2491,2.09,2.2,2.2,4161914.0
2022-06-17,2.19,2.455,2.19,2.33,2.33,8199963.0
2022-06-21,2.4,2.57,2.27,2.29,2.29,5566278.0
2022-06-22,2.23,2.34,2.12,2.13,2.13,5821938.0
2022-06-23,2.13,2.2,1.91,2.05,2.05,5563649.0
2022-06-24,2.11,2.23,1.98,2.09,2.09,26492378.0
2022-06-27,2.09,2.1,1.8,1.82,1.82,5650887.0
2022-06-28,1.87,1.87,1.68,1.705,1.705,3597312.0
2022-06-29,1.71,1.72,1.49,1.54,1.54,6591533.0
2022-06-30,1.51,1.51,1.4,1.49,1.49,6963156.0
2022-07-01,1.5,1.528,1.405,1.51,1.51,2926745.0
2022-07-05,1.48,1.72,1.43,1.71,1.71,4180291.0
