Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,145.76,146.38,138.33,141.28,141.28,1758562.0
2022-05-03,141.93,144.01,140.29,142.26,142.26,1479578.0
2022-05-04,141.61,144.98,140.17,144.66,144.66,1299477.0
2022-05-05,144.35,144.89,140.11,141.36,141.36,1323185.0
2022-05-06,139.93,141.85,138.88,141.08,141.08,1081338.0
2022-05-09,139.57,139.81,132.83,133.38,133.38,1349056.0
2022-05-10,134.58,135.56,125.12,126.6,126.6,2305482.0
2022-05-11,127.4,130.26,126.93,127.0,127.0,1716818.0
2022-05-12,126.59,127.38,125.11,127.11,127.11,1479965.0
2022-05-13,128.51,131.69,126.8,131.19,131.19,2289477.0
2022-05-16,130.87,131.6,128.07,128.41,128.41,1527290.0
2022-05-17,129.64,129.7,127.19,128.65,128.65,1476421.0
2022-05-18,128.15,128.5,124.79,125.29,125.29,1360051.0
2022-05-19,124.38,129.26,124.35,127.67,127.67,1501650.0
2022-05-20,129.05,131.57,127.5,131.1,131.1,1570251.0
2022-05-23,132.93,133.59,131.02,133.52,133.52,1201733.0
2022-05-24,133.27,136.82,131.97,136.63,136.63,1337632.0
2022-05-25,135.69,138.26,134.85,137.85,137.85,1263438.0
2022-05-26,138.49,140.01,136.54,136.79,136.79,1342959.0
2022-05-27,137.12,141.77,137.11,141.51,141.51,971773.0
2022-05-31,139.72,140.28,137.67,139.59,139.59,1734986.0
2022-06-01,139.61,139.82,136.86,137.44,137.44,1314844.0
2022-06-02,136.57,138.39,134.37,138.37,138.37,1562557.0
2022-06-03,136.87,137.5,134.19,134.49,134.49,1329488.0
2022-06-06,134.5,135.94,134.25,134.91,134.91,1357354.0
2022-06-07,134.41,135.31,132.1,135.26,135.26,1263757.0
2022-06-08,134.57,135.27,132.19,132.85,132.85,1147445.0
2022-06-09,132.7,136.5,132.19,133.22,133.22,1398654.0
2022-06-10,131.38,132.64,129.18,131.36,131.36,1637607.0
2022-06-13,128.66,129.74,126.41,127.18,127.18,1912711.0
2022-06-14,126.59,126.85,124.11,124.57,124.57,3037859.0
2022-06-15,126.59,130.57,126.0,128.93,128.93,2065785.0
2022-06-16,125.92,127.28,124.62,125.31,125.31,1543953.0
2022-06-17,125.72,128.38,125.72,127.18,127.18,2339534.0
2022-06-21,128.4,129.89,127.94,128.14,128.14,1652537.0
2022-06-22,127.31,133.9,127.14,132.29,132.29,1802522.0
2022-06-23,133.29,136.83,133.04,136.64,136.64,1566190.0
2022-06-24,137.27,138.98,135.89,138.8,138.8,1319591.0
2022-06-27,138.03,139.14,137.11,137.25,137.25,997470.0
2022-06-28,137.49,138.11,134.1,134.56,134.56,978582.0
2022-06-29,131.69,131.87,124.0,127.4,127.4,4161452.0
2022-06-30,129.15,132.3,128.18,129.83,129.83,3313915.0
2022-07-01,129.83,133.46,129.47,131.58,131.58,1512618.0
2022-07-05,130.26,130.32,125.41,128.56,128.56,2172245.0
2022-07-06,129.56,131.26,128.12,128.4,128.4,1115434.0
2022-07-07,128.31,129.47,127.63,128.43,128.43,857236.0
2022-07-08,127.51,127.96,125.87,126.33,126.33,953795.0
2022-07-11,125.63,127.18,124.34,126.72,126.72,813771.0
2022-07-12,126.35,126.83,123.54,124.35,124.35,920263.0
2022-07-13,122.35,124.49,121.81,122.86,122.86,958918.0
2022-07-14,120.99,122.37,120.65,121.03,121.03,1180860.0
2022-07-15,122.67,123.16,120.22,120.98,120.98,1378095.0
2022-07-18,121.46,121.64,119.63,119.99,119.99,1258040.0
2022-07-19,121.04,123.68,119.96,123.63,123.63,1961534.0
2022-07-20,123.59,125.74,122.92,123.32,123.32,1197372.0
2022-07-21,123.5,125.3,122.51,125.1,125.1,1705269.0
2022-07-22,126.01,127.84,125.24,127.42,127.42,1383643.0
2022-07-25,126.99,129.46,125.85,127.12,127.12,1687750.0
2022-07-26,127.2,128.86,126.67,127.51,127.51,1176127.0
2022-07-27,127.51,129.53,127.35,129.21,129.21,2012818.0
2022-07-28,130.91,138.09,130.12,136.93,136.93,2219029.0
2022-07-29,136.9,136.9,131.28,132.45,132.45,3406201.0
2022-08-01,131.79,132.25,130.03,130.54,130.54,1295028.0
2022-08-02,130.36,132.94,129.16,129.27,129.27,2302473.0
2022-08-03,130.0,131.17,129.18,129.38,129.38,1720707.0
2022-08-04,129.65,129.93,128.56,129.44,129.44,1416907.0
2022-08-05,128.32,129.64,127.54,129.47,129.47,1122091.0
2022-08-08,130.98,132.65,130.19,130.98,130.98,1472084.0
2022-08-09,130.92,131.53,129.73,130.18,130.18,1265868.0
2022-08-10,132.05,133.13,131.14,132.5,132.5,1673577.0
2022-08-11,133.23,133.25,128.71,129.03,129.03,951894.0
2022-08-12,130.06,131.62,129.66,131.42,131.42,1200548.0
2022-08-15,131.25,134.04,131.24,133.1,133.1,1057020.0
2022-08-16,132.11,135.2,131.62,134.53,134.53,933779.0
2022-08-17,133.51,134.19,132.07,132.21,132.21,1270093.0
2022-08-18,132.19,132.35,129.74,131.05,131.05,1125245.0
2022-08-19,131.26,131.94,129.51,130.35,130.35,1061478.0
2022-08-22,129.79,130.4,126.52,126.62,126.62,1183232.0
2022-08-23,126.3,126.3,123.36,125.2,125.2,1729907.0
2022-08-24,124.99,127.59,124.58,125.64,125.64,1209621.0
2022-08-25,126.59,128.56,125.72,128.49,128.49,938021.0
2022-08-26,128.67,129.0,125.17,125.27,125.27,1212945.0
2022-08-29,124.87,125.54,123.51,123.97,123.97,801543.0
2022-08-30,124.0,125.03,122.95,123.81,123.81,1004800.0
2022-08-31,124.85,126.21,123.57,123.63,123.63,1814405.0
2022-09-01,122.75,123.16,120.58,122.0,122.0,1208254.0
2022-09-02,123.2,124.01,118.02,118.28,118.28,1565768.0
2022-09-06,118.53,119.97,117.56,119.3,119.3,1366986.0
2022-09-07,119.8,122.24,119.35,121.94,121.94,1153132.0
2022-09-08,121.35,123.24,121.16,122.66,122.66,1026910.0
2022-09-09,122.93,124.88,122.28,124.45,124.45,1020869.0
2022-09-12,124.71,126.96,124.7,126.75,126.75,1354814.0
2022-09-13,124.0,124.47,119.75,120.17,120.17,1676120.0
2022-09-14,117.69,118.38,115.4,116.08,116.08,1417153.0
2022-09-15,115.96,116.27,111.89,111.89,111.89,1971436.0
2022-09-16,112.62,112.62,111.0,112.08,112.08,3752533.0
2022-09-19,111.06,111.85,109.79,111.15,111.15,2441715.0
2022-09-20,110.21,111.43,108.97,109.75,109.75,2499688.0
2022-09-21,110.27,111.9,108.75,108.79,108.79,2198021.0
2022-09-22,107.8,108.26,106.15,107.41,107.41,2999588.0
2022-09-23,105.65,106.1,102.18,103.34,103.34,3348712.0
2022-09-26,102.85,103.67,100.32,101.78,101.78,2157108.0
2022-09-27,102.58,103.59,97.53,97.73,97.73,2320374.0
2022-09-28,98.21,100.12,96.5,99.77,99.77,2423800.0
2022-09-29,98.32,98.89,96.08,96.91,96.91,2385709.0
2022-09-30,98.22,99.58,97.01,99.18,99.18,3052984.0
2022-10-03,100.31,101.35,98.84,100.45,100.45,2256614.0
2022-10-04,101.47,103.38,101.02,102.21,102.21,2010319.0
2022-10-05,100.59,101.26,98.24,99.0,99.0,2072783.0
2022-10-06,98.56,99.02,93.56,94.4,94.4,3140638.0
2022-10-07,93.31,94.79,92.06,92.45,92.45,2572382.0
2022-10-10,92.92,93.51,89.44,89.68,89.68,1781379.0
2022-10-11,89.36,91.7,88.54,90.05,90.05,3022132.0
2022-10-12,89.73,91.25,89.03,89.22,89.22,2383247.0
2022-10-13,86.75,93.12,85.76,92.1,92.1,3057426.0
2022-10-14,93.12,94.14,90.34,90.84,90.84,2646569.0
2022-10-17,92.92,95.48,92.23,95.15,95.15,2991335.0
2022-10-18,96.5,98.37,95.71,96.84,96.84,2922800.0
2022-10-19,95.08,96.5,94.01,95.21,95.21,3127044.0
2022-10-20,95.45,97.19,94.84,95.08,95.08,2081754.0
2022-10-21,95.06,96.87,93.65,96.86,96.86,1763680.0
2022-10-24,97.76,98.92,95.99,97.44,97.44,2599236.0
2022-10-25,98.26,101.83,98.02,101.55,101.55,2796296.0
2022-10-26,101.0,102.23,99.94,100.27,100.27,2587748.0
2022-10-27,101.91,101.91,98.55,99.91,99.91,3087028.0
2022-10-28,99.4,101.57,98.85,101.39,101.39,1782239.0
2022-10-31,100.21,100.99,99.53,100.25,100.25,2400163.0
2022-11-01,101.8,102.36,96.58,96.87,96.87,3877026.0
2022-11-02,96.54,98.25,94.17,94.23,94.23,3506155.0
2022-11-03,92.96,95.71,92.31,94.95,94.95,2499879.0
2022-11-04,95.93,97.35,94.82,96.77,96.77,1847962.0
2022-11-07,97.38,97.97,96.57,97.22,97.22,1480375.0
2022-11-08,97.58,100.04,97.02,98.45,98.45,1956194.0
2022-11-09,98.37,98.99,96.9,97.09,97.09,1605304.0
2022-11-10,101.33,108.97,101.2,108.59,108.59,2886682.0
2022-11-11,108.47,113.26,108.39,111.58,111.58,2804366.0
2022-11-14,110.86,110.86,107.3,107.42,107.42,1723810.0
2022-11-15,109.34,112.07,109.11,111.87,111.87,2038488.0
2022-11-16,111.59,112.12,109.84,109.85,109.85,1699474.0
2022-11-17,107.92,109.81,107.84,109.29,109.29,1983226.0
2022-11-18,111.01,111.36,109.29,110.46,110.46,1245112.0
2022-11-21,109.9,110.85,108.65,110.59,110.59,1571748.0
2022-11-22,110.81,110.81,108.31,109.5,109.5,1799637.0
2022-11-23,109.22,111.07,109.19,110.99,110.99,1207284.0
2022-11-25,111.37,112.27,110.59,111.27,111.27,431762.0
2022-11-28,110.0,110.9,107.09,107.48,107.48,1818252.0
2022-11-29,107.64,109.0,107.31,108.75,108.75,1422115.0
2022-11-30,108.24,112.7,107.51,112.46,112.46,2598135.0
2022-12-01,113.23,114.86,110.93,111.7,111.7,1564379.0
2022-12-02,110.09,111.25,108.77,110.85,110.85,1610619.0
2022-12-05,110.13,110.88,108.55,109.16,109.16,1475029.0
2022-12-06,109.51,109.65,107.48,108.05,108.05,1199149.0
2022-12-07,107.79,109.99,107.52,108.8,108.8,1352233.0
2022-12-08,109.0,110.66,106.84,107.32,107.32,2221336.0
2022-12-09,106.74,108.85,106.13,106.96,106.96,1294016.0
2022-12-12,107.07,108.38,106.52,108.33,108.33,1953826.0
2022-12-13,112.47,113.48,109.16,111.09,111.09,2243365.0
2022-12-14,107.18,109.3,104.5,104.64,104.64,4600739.0
2022-12-15,103.16,105.03,102.8,104.28,104.28,2626898.0
2022-12-16,102.48,102.82,99.01,101.54,101.54,5083576.0
2022-12-19,101.0,101.3,98.73,99.39,99.39,2022385.0
2022-12-20,98.67,100.25,97.83,98.74,98.74,2170587.0
2022-12-21,98.78,102.03,98.7,100.45,100.45,1623523.0
2022-12-22,99.44,100.67,98.08,99.86,99.86,1957768.0
2022-12-23,99.22,101.33,98.69,100.87,100.87,833622.0
2022-12-27,100.75,101.04,98.72,100.35,100.35,1124699.0
2022-12-28,100.77,101.25,99.13,99.4,99.4,2197962.0
2022-12-29,100.19,102.14,99.4,101.3,101.3,1149283.0
2022-12-30,100.37,101.22,98.9,100.27,100.27,1200404.0
2023-01-03,101.5,103.34,100.72,102.83,102.83,2410052.0
