Date,Open,High,Low,Close,Adj Close,Volume
2025-05-16,23.5,25.26,22.09,22.8,22.8,6284897.0
2025-05-19,23.02,26.6,22.5,23.65,23.65,2612360.0
2025-05-20,23.72,23.7223,21.5,21.91,21.91,3349689.0
2025-05-21,21.515,24.015,21.03,22.44,22.44,4190823.0
2025-05-22,23.9,25.0,22.22,24.46,24.46,4666016.0
2025-05-23,23.025,24.24,22.62,22.95,22.95,2727755.0
2025-05-27,23.3,23.5,21.67,21.74,21.74,3351386.0
2025-05-28,19.3,20.853,18.8,20.38,20.38,4046361.0
2025-05-29,20.81,20.926,19.21,19.6,19.6,3678943.0
2025-05-30,18.85,18.89,17.99,18.15,18.15,12164240.0
2025-06-02,18.5,18.77,18.2,18.52,18.52,5652614.0
2025-06-03,18.68,19.58,18.28,19.13,19.13,4674983.0
2025-06-04,19.33,20.15,18.9211,20.08,20.08,5911963.0
2025-06-05,20.725,20.83,19.05,19.07,19.07,6914067.0
2025-06-06,19.05,20.02,18.95,19.98,19.98,4288995.0
2025-06-09,20.73,21.13,19.83,20.93,20.93,6283028.0
2025-06-10,21.14,21.3,19.75,20.0,20.0,3920525.0
2025-06-11,19.87,20.05,19.2,19.33,19.33,3273145.0
2025-06-12,19.2,20.62,19.0801,19.42,19.42,4757587.0
2025-06-13,19.0,19.2694,18.44,18.84,18.84,3139551.0
2025-06-16,19.23,19.85,18.9,19.37,19.37,3025485.0
2025-06-17,19.1,19.328,18.3,18.49,18.49,6435569.0
2025-06-18,18.61,19.47,17.95,19.04,19.04,7838001.0
2025-06-20,20.51,21.05,18.81,18.86,18.86,26245904.0
2025-06-23,18.25,19.04,17.4,18.47,18.47,8651953.0
2025-06-24,19.09,19.83,18.69,19.71,19.71,7775259.0
2025-06-25,20.01,20.11,19.14,19.4,19.4,3366647.0
2025-06-26,19.515,21.07,19.01,20.48,20.48,6115975.0
2025-06-27,21.125,21.1474,19.64,19.97,19.97,5056323.0
2025-06-30,20.5,22.4,20.41,21.9,21.9,10562811.0
2025-07-01,21.88,22.1499,20.8,21.31,21.31,7094333.0
2025-07-02,21.51,22.8299,20.8001,22.22,22.22,7822788.0
2025-07-03,22.29,22.65,21.59,21.75,21.75,3726403.0
2025-07-07,21.335,21.4363,19.2,19.69,19.69,7332496.0
2025-07-08,20.08,20.08,19.15,19.46,19.46,3687953.0
2025-07-09,19.92,20.26,19.05,20.17,20.17,6587784.0
