Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,3.56,3.73,3.49,3.7,3.7,5275874.0
2022-05-03,3.67,3.81,3.63,3.7,3.7,4654555.0
2022-05-04,3.74,4.01,3.59,4.01,4.01,7112873.0
2022-05-05,3.9,3.9,3.53,3.63,3.63,5429438.0
2022-05-06,3.52,3.59,3.29,3.41,3.41,7630849.0
2022-05-09,3.17,3.27,2.78,2.83,2.83,9492502.0
2022-05-10,3.03,3.13,2.7,2.8,2.8,7514538.0
2022-05-11,2.58,2.79,2.42,2.44,2.44,14944358.0
2022-05-12,2.25,2.62,2.25,2.44,2.44,12453622.0
2022-05-13,2.66,2.9,2.62,2.74,2.74,11342071.0
2022-05-16,2.72,2.72,2.45,2.49,2.49,9657292.0
2022-05-17,2.68,2.72,2.54,2.65,2.65,10472773.0
2022-05-18,2.58,2.61,2.41,2.47,2.47,9755823.0
2022-05-19,2.49,2.62,2.42,2.47,2.47,10215826.0
2022-05-20,2.56,2.61,2.29,2.48,2.48,12792235.0
2022-05-23,2.5,2.52,2.35,2.44,2.44,8161538.0
2022-05-24,2.38,2.38,2.19,2.24,2.24,8493087.0
2022-05-25,2.22,2.3,2.18,2.24,2.24,8107897.0
2022-05-26,2.15,2.37,2.11,2.31,2.31,12180724.0
2022-05-27,2.34,2.53,2.33,2.52,2.52,10083695.0
2022-05-31,2.69,2.79,2.52,2.55,2.55,16603064.0
2022-06-01,2.57,2.67,2.28,2.31,2.31,12454790.0
2022-06-02,2.31,2.45,2.25,2.39,2.39,8473658.0
2022-06-03,2.34,2.38,2.24,2.31,2.31,8341605.0
2022-06-06,2.41,2.43,2.19,2.21,2.21,14068013.0
2022-06-07,2.14,2.27,2.08,2.27,2.27,8933692.0
2022-06-08,2.25,2.34,2.12,2.15,2.15,9343093.0
2022-06-09,2.12,2.15,1.97,1.98,1.98,10825914.0
2022-06-10,1.91,1.98,1.84,1.88,1.88,9695254.0
2022-06-13,1.6,1.74,1.56,1.65,1.65,14480327.0
2022-06-14,1.7,1.76,1.6,1.69,1.69,10143937.0
2022-06-15,1.68,1.73,1.59,1.68,1.68,16266426.0
2022-06-16,1.63,1.66,1.52,1.54,1.54,11187011.0
2022-06-17,1.54,1.65,1.52,1.59,1.59,13871992.0
2022-06-21,1.69,1.81,1.64,1.64,1.64,13089704.0
