Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,3.78,4.19,3.72,4.11,4.11,482992.0
2022-05-03,4.29,4.41,3.97,4.03,4.03,478990.0
2022-05-04,3.94,4.0599,3.62,4.0,4.0,537776.0
2022-05-05,3.89,4.09,3.355,3.44,3.44,511849.0
2022-05-06,3.3,3.55,3.2,3.29,3.29,333440.0
2022-05-09,3.2,3.26,2.95,3.0,3.0,674677.0
2022-05-10,3.11,3.25,2.86,2.94,2.94,412174.0
2022-05-11,2.97,2.97,2.6,2.65,2.65,452654.0
2022-05-12,2.54,3.19,2.54,3.11,3.11,594046.0
2022-05-13,3.26,3.54,3.21,3.37,3.37,707670.0
2022-05-16,3.39,3.719,3.21,3.3,3.3,330256.0
2022-05-17,3.42,3.64,3.23,3.32,3.32,275366.0
2022-05-18,3.23,3.38,3.05,3.22,3.22,355131.0
2022-05-19,3.24,3.3375,3.12,3.19,3.19,302519.0
2022-05-20,3.24,3.35,2.76,3.01,3.01,381043.0
2022-05-23,2.92,3.0655,2.91,2.97,2.97,256538.0
2022-05-24,2.87,2.945,2.745,2.87,2.87,245543.0
2022-05-25,2.81,2.95,2.7801,2.93,2.93,135652.0
2022-05-26,2.99,3.31,2.86,3.29,3.29,235046.0
2022-05-27,3.23,3.51,3.1201,3.3,3.3,238366.0
2022-05-31,3.34,3.3999,3.1,3.19,3.19,542005.0
2022-06-01,3.17,3.23,2.91,3.04,3.04,285831.0
2022-06-02,3.05,3.48,3.03,3.37,3.37,333268.0
2022-06-03,3.36,3.54,3.24,3.49,3.49,298687.0
2022-06-06,3.7,3.76,2.91,2.96,2.96,606165.0
2022-06-07,2.96,2.96,2.68,2.83,2.83,569220.0
2022-06-08,2.82,2.88,2.64,2.68,2.68,315945.0
2022-06-09,2.65,2.65,2.46,2.47,2.47,397629.0
2022-06-10,2.45,2.47,2.33,2.43,2.43,333170.0
2022-06-13,2.19,2.3,1.95,2.01,2.01,664460.0
2022-06-14,2.05,2.08,1.8601,1.9,1.9,318888.0
